frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,2,32276,28040,-466.91,NaN,NaN,NaN,7493.7,132.54
1,3,12392,45420,-1499.5,NaN,NaN,NaN,1883.9,79.047
2,2,56460,41254,1.7179e+05,NaN,NaN,NaN,1379.2,87.674
3,3,12022,45242,-965.51,NaN,NaN,NaN,1660.6,76.571
3,5,32157,27938,372.16,NaN,NaN,NaN,3397.1,110.52
4,1,30916,29602,-1417.8,NaN,NaN,NaN,4044.7,104.49
4,2,-11760,11761,-1.1974e+05,NaN,NaN,NaN,1702.5,77.092
5,1,14988,46333,6829.9,NaN,NaN,NaN,2106.7,76.695
6,1,30929,29619,-1466.2,NaN,NaN,NaN,3818.8,99.45
8,1,32050,29868,1637.8,NaN,NaN,NaN,3278.7,96.333
9,2,12214,45529,-1494.1,NaN,NaN,NaN,1495,75.006
10,2,12384,45576,-1499.4,NaN,NaN,NaN,1793.4,75.38
12,1,40118,56617,1.1031e+05,NaN,NaN,NaN,1526.6,74.933
13,1,52402,61772,1.5915e+05,NaN,NaN,NaN,1841.3,75.179
14,1,12077,45234,-928.13,NaN,NaN,NaN,1536.8,74.848
15,1,12269,45369,-915.66,NaN,NaN,NaN,1531.4,74.791
16,1,32275,28653,-238.01,NaN,NaN,NaN,2114.6,90.874
17,1,13042,45734,455.88,NaN,NaN,NaN,1757.3,74.449
18,1,12507,45541,-1110.4,NaN,NaN,NaN,1594.3,74.558
20,1,44803,58477,1.2765e+05,NaN,NaN,NaN,1965.3,74.561
21,1,23533,49764,41510,NaN,NaN,NaN,1991.3,75.001
23,1,12247,45473,-1291.2,NaN,NaN,NaN,2093.3,74.552
25,1,12600,45707,-1293.3,NaN,NaN,NaN,1792.2,74.375
26,1,62067,65681,1.9886e+05,NaN,NaN,NaN,1844.7,74.14
27,1,49374,60434,1.4744e+05,NaN,NaN,NaN,1659.5,74.241
29,1,17616,47477,17441,NaN,NaN,NaN,1999.6,74.918
30,1,2.4225e+05,1.269e+05,8.9485e+05,NaN,NaN,NaN,1477.8,83.967
34,1,24487,35360,-918.83,NaN,NaN,NaN,1491.9,83.339
47,1,65298,51734,1.6516e+05,NaN,NaN,NaN,1397.4,83.11
54,1,29100,36822,18112,NaN,NaN,NaN,1281.7,82.621
55,1,12724,19124,-55729,NaN,NaN,NaN,1495.6,82.527
68,1,1.1476e+05,72515,3.6829e+05,NaN,NaN,NaN,1501.6,82.503
69,1,11613,18394,-58937,NaN,NaN,NaN,1458,82.2
70,1,60649,49727,1.4565e+05,NaN,NaN,NaN,1479,82.298
72,1,-9382,-10787,-1.6401e+05,NaN,NaN,NaN,1461.1,81.861
77,1,24289,35117,-1129.1,NaN,NaN,NaN,1514.3,81.926
79,1,24340,35541,-187.64,NaN,NaN,NaN,1798.6,81.535
82,1,93586,63717,2.8179e+05,NaN,NaN,NaN,1663.3,82.139
83,1,39265,40792,57265,NaN,NaN,NaN,1609.7,82.255
84,1,51467,45812,1.0869e+05,NaN,NaN,NaN,1653.4,82.295
123,1,99305,58151,2.7146e+05,NaN,NaN,NaN,2025.7,83.297
191,1,23295,29688,-1126.4,NaN,NaN,NaN,1347.4,81.667
209,1,27675,28458,-162.36,NaN,NaN,NaN,1518,83.012
243,1,28681,29563,864.15,NaN,NaN,NaN,1423.4,81.434
260,1,29188,29493,-923.7,NaN,NaN,NaN,1985.6,81.554
293,3,31033,45958,666.11,NaN,NaN,NaN,373.57,75.269
305,1,16064,32138,245.2,NaN,NaN,NaN,1068.5,76.991
325,1,27044,26638,-476.67,NaN,NaN,NaN,972.42,81.311
347,1,33039,37146,-948.12,NaN,NaN,NaN,1056.7,78.467
543,1,52252,24986,487.93,NaN,NaN,NaN,1240.8,71.669
545,2,52453,24981,548.98,NaN,NaN,NaN,2248.9,70.572
546,1,52727,25370,-171.03,NaN,NaN,NaN,2215.4,71.1
546,3,29110,37801,57.093,NaN,NaN,NaN,1763.3,79.106
547,1,52663,24273,-573.05,NaN,NaN,NaN,1443.8,70.199
548,1,52613,24391,-40.368,NaN,NaN,NaN,1194.7,70.629
633,1,1.2039e+05,78638,4.0453e+05,NaN,NaN,NaN,2091.3,78.821
693,1,29952,30120,-600.86,NaN,NaN,NaN,1253.7,80.111
778,1,40132,62034,6247.6,NaN,NaN,NaN,1565.3,67.946
783,1,37728,61204,-1278,NaN,NaN,NaN,2048.6,68.715
879,1,18700,35251,449.29,NaN,NaN,NaN,1210.3,77.481
911,1,24323,28482,-40.114,NaN,NaN,NaN,1054.6,79.635
952,1,15564,29343,797.95,NaN,NaN,NaN,1123.4,76.718
955,1,27682,25905,-304.52,NaN,NaN,NaN,2003.5,80.086
962,1,31408,30946,17.722,NaN,NaN,NaN,860.03,78.755
