frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,2,32227,38796,-484.69,NaN,NaN,NaN,22507,277.38
1,7,27603,29572,-71429,NaN,NaN,NaN,8305.6,130.06
1,8,20439,15826,-23539,NaN,NaN,NaN,14672,524.54
1,12,21026,30742,248.53,NaN,NaN,NaN,24439,420.35
1,17,84239,60119,2.5747e+05,NaN,NaN,NaN,29435,325.09
1,27,36449,32779,-605.28,NaN,NaN,NaN,5798.3,279.34
1,28,22902,24200,482.17,NaN,NaN,NaN,4301.3,500.59
1,35,36338,24968,166.61,NaN,NaN,NaN,2256.8,284.08
2,2,-4195,-22623,-1.6161e+05,NaN,NaN,NaN,9851.2,379.83
2,3,25928,22529,354.52,NaN,NaN,NaN,7346.1,385.98
2,5,42031,43402,73783,NaN,NaN,NaN,16742,249.19
2,6,32451,26057,-36.678,NaN,NaN,NaN,12813,307.63
2,11,36410,32683,-371.87,NaN,NaN,NaN,6991.2,201.47
2,13,20573,34261,-1453,NaN,NaN,NaN,19711,245.21
2,14,22841,23999,566.6,NaN,NaN,NaN,2632.3,373.8
2,17,35707,25417,247.31,NaN,NaN,NaN,6411.8,244.57
2,18,20936,25848,363.63,NaN,NaN,NaN,3024.9,336.47
2,22,18910,32643,-0.33741,NaN,NaN,NaN,20845,234.97
2,30,33718,28295,-780.69,NaN,NaN,NaN,8523.9,269.08
2,36,33574,42579,292.21,NaN,NaN,NaN,5971.2,163.83
2,38,8999.3,36308,-44.654,NaN,NaN,NaN,2662.2,115.26
2,39,21854,22101,-9753.8,NaN,NaN,NaN,6456,385.43
3,5,18788,32665,-475.41,NaN,NaN,NaN,17782,204.4
3,11,20435,34270,-1293.8,NaN,NaN,NaN,15557,209.02
3,12,25202,38349,118.69,NaN,NaN,NaN,11090,198.58
3,13,26015,23039,-585.23,NaN,NaN,NaN,4615.5,323.92
3,16,44018,38164,1.0109e+05,NaN,NaN,NaN,1516,231.25
3,18,36425,32908,-663.13,NaN,NaN,NaN,5974.8,177.96
3,20,81717,43272,1.8066e+05,NaN,NaN,NaN,1568,200.94
3,21,23563,28426,418.77,NaN,NaN,NaN,9183,301.55
3,23,33461,42640,247.18,NaN,NaN,NaN,4922,147.93
3,25,1.4878e+05,95188,5.7063e+05,NaN,NaN,NaN,2905.7,107.81
3,31,23200,35826,-968.74,NaN,NaN,NaN,11524,217.45
4,2,22566,25668,3609.8,NaN,NaN,NaN,4689.4,254.62
4,4,28192,40300,44.146,NaN,NaN,NaN,11068,167.31
4,5,19519,30710,-246.4,NaN,NaN,NaN,14822,210.13
4,7,23258,36225,-651.91,NaN,NaN,NaN,9909.1,194.09
4,9,26130,23079,-715.74,NaN,NaN,NaN,6952.9,284.36
4,10,42585,50194,1.326e+05,NaN,NaN,NaN,2665,106.69
4,12,20752,30653,734.99,NaN,NaN,NaN,12149,228.48
4,13,20502,34201,-1293.8,NaN,NaN,NaN,10235,188.58
4,17,36395,32679,-368.11,NaN,NaN,NaN,5200.1,163.67
4,20,8460.8,-6120.5,-1.0359e+05,NaN,NaN,NaN,7862.3,269.08
4,21,36033,25087,358.47,NaN,NaN,NaN,1569,193.7
5,2,30161,22775,433.08,NaN,NaN,NaN,5359.4,242.36
5,4,19931,33360,585.78,NaN,NaN,NaN,13109,179.75
5,6,25853,22154,1.8238,NaN,NaN,NaN,3285.7,256.04
5,8,29809,28701,337.97,NaN,NaN,NaN,9310.1,226.33
5,9,10792,37395,3642.6,NaN,NaN,NaN,2662.5,105.08
5,10,36413,32717,-628.44,NaN,NaN,NaN,5012.3,151.38
5,12,20603,34149,-1007.8,NaN,NaN,NaN,9503.3,178.32
5,14,1.071e+05,79676,3.4658e+05,NaN,NaN,NaN,3008.3,119.64
5,16,543.72,-19502,-1.5201e+05,NaN,NaN,NaN,3288.8,224.17
5,18,17360,29722,226.42,NaN,NaN,NaN,7291.3,175.06
6,2,36415,32730,-436.4,NaN,NaN,NaN,4556.8,144.53
6,6,26065,22866,-688.98,NaN,NaN,NaN,6024.6,233.75
6,7,29458,29291,7644.1,NaN,NaN,NaN,7133,223.15
6,9,20504,26250,-410.64,NaN,NaN,NaN,4086.2,206.56
6,10,30180,22675,217.96,NaN,NaN,NaN,3031.9,213.82
6,13,35800,25633,396.51,NaN,NaN,NaN,1916.8,164.39
6,16,23236,31857,434.99,NaN,NaN,NaN,5660.6,201.99
7,2,19561,30468,-253.78,NaN,NaN,NaN,11227,174.18
7,5,9291.6,36876,-1370.2,NaN,NaN,NaN,2741.8,102.23
7,7,25800,22003,-32.295,NaN,NaN,NaN,2038,215.56
7,15,1608.3,16934,-97439,NaN,NaN,NaN,2306.7,114.68
7,16,27792,56205,3975.6,NaN,NaN,NaN,1336.9,92.432
7,18,46273,56863,71931,NaN,NaN,NaN,1668.1,107.28
8,3,36402,32694,-392.38,NaN,NaN,NaN,4409.7,132.02
8,5,20481,26169,-483.3,NaN,NaN,NaN,2778.1,181.51
8,6,30461,22186,55.989,NaN,NaN,NaN,1682.1,185.75
8,7,19793,30093,243.5,NaN,NaN,NaN,9878.7,167.71
8,10,37521,40799,28369,NaN,NaN,NaN,4788.9,148.55
8,11,26010,23117,-809.73,NaN,NaN,NaN,4260.8,201.66
8,16,29559,24756,-949.24,NaN,NaN,NaN,4221.6,195.62
8,18,26918,49688,455.18,NaN,NaN,NaN,1891.7,103.34
9,1,20066,33270,453.17,NaN,NaN,NaN,9205.3,147.41
9,2,36475,32692,-493.31,NaN,NaN,NaN,4362,129.33
9,3,26827,39632,189.67,NaN,NaN,NaN,6003.8,135.55
9,5,46639,30822,80483,NaN,NaN,NaN,4397,192.95
9,7,27528,25343,-10365,NaN,NaN,NaN,6796.8,177.6
9,10,29828,37806,-810.11,NaN,NaN,NaN,4991.6,143.28
9,11,2.6294e+05,1.4902e+05,9.6639e+05,NaN,NaN,NaN,1904.2,101.14
9,15,30557,22216,370,NaN,NaN,NaN,1509.1,180.51
9,22,26557,23423,-1023.5,NaN,NaN,NaN,4775,194.64
9,23,83943,53284,2.4741e+05,NaN,NaN,NaN,4082.5,180.69
10,2,26682,39783,-675.22,NaN,NaN,NaN,5288.6,132.8
10,3,36297,32656,-418.62,NaN,NaN,NaN,3923.7,129.41
10,4,19935,33444,600.34,NaN,NaN,NaN,8813.3,143.5
10,6,28993,41308,471.78,NaN,NaN,NaN,5052.1,124.9
10,7,36738,26828,40970,NaN,NaN,NaN,3715.2,189.05
10,11,35050,49505,50461,NaN,NaN,NaN,2376.1,107.11
10,14,2.2745e+05,1.1444e+05,8.4055e+05,NaN,NaN,NaN,5039.1,176.77
10,16,19484,29619,-123.24,NaN,NaN,NaN,7360.3,155.81
10,17,18332,42931,-1370.5,NaN,NaN,NaN,1457.9,103.15
10,19,29774,39174,13349,NaN,NaN,NaN,4047.6,142.84
10,20,30426,22561,127.72,NaN,NaN,NaN,1822.1,175.51
11,1,36356,32698,-509.72,NaN,NaN,NaN,3165.8,123.3
11,2,21111,25181,-1346.9,NaN,NaN,NaN,2122.3,162.97
11,8,2.7013e+05,1.4925e+05,1.0205e+06,NaN,NaN,NaN,2353.9,105.16
11,9,17855,28032,-37.393,NaN,NaN,NaN,3454,138.72
11,10,28925,41538,409.9,NaN,NaN,NaN,4647.3,121.01
11,13,1.0485e+05,81362,3.1221e+05,NaN,NaN,NaN,1485.6,99.325
11,15,1910.8,45450,659.07,NaN,NaN,NaN,2087.1,85.267
12,3,36335,32741,-674.9,NaN,NaN,NaN,3576.8,119.73
12,4,22222,27712,121.85,NaN,NaN,NaN,5750,158.22
12,8,21559,28852,2428.6,NaN,NaN,NaN,5111.5,149.06
12,9,17774,28036,103.69,NaN,NaN,NaN,1226.3,133.86
12,10,30577,21985,259.06,NaN,NaN,NaN,2173.7,158.59
12,11,45320,57151,-484.5,NaN,NaN,NaN,1961,80.982
12,13,29208,40876,278.03,NaN,NaN,NaN,3395.3,120.25
12,16,30013,38025,-1020.4,NaN,NaN,NaN,4065.2,129.21
12,18,2.6439e+05,1.4946e+05,9.7143e+05,NaN,NaN,NaN,1599.6,99.111
12,22,90630,72675,2.7837e+05,NaN,NaN,NaN,2234.9,104.09
12,23,7155,46022,590.69,NaN,NaN,NaN,2151.6,85.609
12,25,25940,22287,-3051.1,NaN,NaN,NaN,2208,170.24
13,1,1.0216e+05,60153,2.6635e+05,NaN,NaN,NaN,3431.2,120.38
