frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,16,63465,39777,2840.3,NaN,NaN,NaN,7073.1,388.97
1,19,35433,30593,-1294,NaN,NaN,NaN,8736.4,1084.6
1,21,54267,43765,-46.011,NaN,NaN,NaN,24401,555.4
2,1,56352,32660,-632.77,NaN,NaN,NaN,18422,782.4
2,15,34971,30608,-707.21,NaN,NaN,NaN,20981,942.88
2,17,23499,27078,-364.25,NaN,NaN,NaN,5133.9,211.8
3,14,34386,30556,-1282,NaN,NaN,NaN,22597,886.41
3,19,43032,34388,-35614,NaN,NaN,NaN,37413,547.31
4,1,55161,32539,-482.91,NaN,NaN,NaN,22740,739.88
4,12,53091,29000,-698.69,NaN,NaN,NaN,14037,1009.9
4,19,34089,30664,-1465.3,NaN,NaN,NaN,22083,822.54
4,21,63315,39766,2657.5,NaN,NaN,NaN,8630.2,223.62
4,22,19708,13032,-61621,NaN,NaN,NaN,33159,658.92
5,11,51201,26898,-1252.8,NaN,NaN,NaN,15685,1099.3
5,15,53310,40202,473.63,NaN,NaN,NaN,21552,503.78
5,20,46684,41205,-10355,NaN,NaN,NaN,44139,547.01
5,23,51071,51156,-167.84,NaN,NaN,NaN,6105.2,303.84
6,1,54029,32479,-373.61,NaN,NaN,NaN,29403,717.09
6,9,50686,27095,-915.47,NaN,NaN,NaN,19582,1047.6
6,13,51038,51073,-375.42,NaN,NaN,NaN,8152.2,286.88
6,18,52628,40482,245.16,NaN,NaN,NaN,8641.7,488.72
6,20,1.347e+05,72495,4.1157e+05,NaN,NaN,NaN,19945,717.6
6,24,64637,40223,7261,NaN,NaN,NaN,7769.3,189.37
7,11,51835,40513,276.53,NaN,NaN,NaN,15401,502.54
7,13,51065,51122,-202.08,NaN,NaN,NaN,7888.1,273.2
7,15,32764,32666,-613.05,NaN,NaN,NaN,40351,573.77
7,16,-3624.8,-19597,-1.7984e+05,NaN,NaN,NaN,27979,583.67
7,20,36090,31580,6706,NaN,NaN,NaN,21803,717.84
8,1,53059,32210,-464.55,NaN,NaN,NaN,40045,731.52
8,2,49512,41917,-1117,NaN,NaN,NaN,68395,622.28
8,12,51075,51093,-34.112,NaN,NaN,NaN,6051.4,261.61
8,15,21244,15830,-52019,NaN,NaN,NaN,18916,514.4
8,16,31720,31012,-4752.7,NaN,NaN,NaN,38787,591.95
8,17,44251,34863,40290,NaN,NaN,NaN,24300,666.07
8,18,34113,32118,9.3873,NaN,NaN,NaN,32324,767.07
8,19,34652,38302,56.621,NaN,NaN,NaN,35755,554.91
8,22,40626,25695,220.16,NaN,NaN,NaN,13626,926.72
8,23,49830,41950,167,NaN,NaN,NaN,30010,537.17
8,24,33778,37340,340.91,NaN,NaN,NaN,11900,535.26
9,1,52718,32201,-478.39,NaN,NaN,NaN,39381,723.47
9,7,51084,51083,-209,NaN,NaN,NaN,6063.4,248.71
9,10,34150,32045,-44.466,NaN,NaN,NaN,30861,734.89
9,13,32998,32615,295.9,NaN,NaN,NaN,39383,545.23
9,14,32323,30820,797.94,NaN,NaN,NaN,27667,512.44
9,15,51282,37695,68580,NaN,NaN,NaN,24352,638.08
9,20,52127,29825,246.42,NaN,NaN,NaN,3201.9,760.49
9,22,40482,25702,67.315,NaN,NaN,NaN,9429.8,887.55
9,24,54155,45901,78458,NaN,NaN,NaN,16031,522.46
10,2,52082,31987,-651.06,NaN,NaN,NaN,45668,764.15
10,5,40822,33490,26142,NaN,NaN,NaN,21548,610.09
10,9,51106,51097,-34.377,NaN,NaN,NaN,5623,239.59
10,12,40675,25664,2.816,NaN,NaN,NaN,19098,808.68
