frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,3,47905,42926,-935.42,NaN,NaN,NaN,24603,1115.1
1,7,29348,8259,-212.28,NaN,NaN,NaN,3713,198.3
1,13,19076,49286,-914.53,NaN,NaN,NaN,31047,548.53
1,14,18443,35436,603.53,NaN,NaN,NaN,14790,835.29
1,17,1.2083e+05,81407,4.399e+05,NaN,NaN,NaN,23435,495.97
2,1,29238,8260,-246.29,NaN,NaN,NaN,6005.9,170.18
2,9,88169,67574,3.0577e+05,NaN,NaN,NaN,22995,424.3
2,14,19177,44586,281.22,NaN,NaN,NaN,25544,608.51
3,1,29228,8251.6,-212.33,NaN,NaN,NaN,7665,157.91
3,6,30315,15621,-214.38,NaN,NaN,NaN,2654.6,230.94
3,8,18481,36030,-1387.9,NaN,NaN,NaN,8543.8,623.92
3,10,1.5028e+05,93897,5.6186e+05,NaN,NaN,NaN,21333,385.76
3,12,9056.7,31313,-46172,NaN,NaN,NaN,24500,528.75
4,1,29173,8220.3,-244.35,NaN,NaN,NaN,7924.6,149.85
5,1,29196,8238.6,-230.3,NaN,NaN,NaN,8690,144.05
5,7,29309,8838.5,-244.97,NaN,NaN,NaN,5851.1,149.44
6,6,14889,38648,512.64,NaN,NaN,NaN,17108,391.81
6,7,15081,41029,-641.16,NaN,NaN,NaN,19948,369.74
8,12,30287,46194,10447,NaN,NaN,NaN,15119,743.76
9,13,27672,55498,-694.6,NaN,NaN,NaN,16612,453.05
10,5,15595,31015,-10.223,NaN,NaN,NaN,1553.7,371.47
10,6,17918,39756,-1340.3,NaN,NaN,NaN,14233,419.78
10,7,30102,15587,-467.96,NaN,NaN,NaN,1252.5,171.34
11,7,30206,15533,-336.37,NaN,NaN,NaN,2124.1,168.06
11,8,31503,44916,51945,NaN,NaN,NaN,12368,418.1
12,6,30142,15625,-371.51,NaN,NaN,NaN,2949.6,155.38
12,9,1.0248e+05,74050,2.9192e+05,NaN,NaN,NaN,14651,841.11
12,10,27571,55502,-694.49,NaN,NaN,NaN,15142,407.09
12,11,17869,39741,-1082.4,NaN,NaN,NaN,11613,393.99
13,1,22841,24241,-198.4,NaN,NaN,NaN,1857.5,258.16
13,4,14653,39097,-1361.3,NaN,NaN,NaN,14005,300.56
13,5,27623,55470,-600.9,NaN,NaN,NaN,14271,393.89
13,6,1.0156e+05,73525,2.8654e+05,NaN,NaN,NaN,13855,815.75
13,7,19019,45091,-946.73,NaN,NaN,NaN,16250,337.08
14,1,22843,24236,-200.45,NaN,NaN,NaN,2192.7,252.92
14,12,40603,44485,-717.15,NaN,NaN,NaN,22308,842.38
14,15,28853,44933,389.18,NaN,NaN,NaN,17695,717.34
14,16,27577,55609,-1090.4,NaN,NaN,NaN,14179,374.66
15,1,22642,23540,-369.9,NaN,NaN,NaN,2617.6,235.12
15,3,30385,44177,-707.07,NaN,NaN,NaN,15947,762.93
16,2,22634,23491,-238.54,NaN,NaN,NaN,1474.2,228.88
16,9,40610,44599,-246.52,NaN,NaN,NaN,22438,797.22
17,5,40612,44593,-375.34,NaN,NaN,NaN,22097,779.91
17,12,41139,43863,7727,NaN,NaN,NaN,11886,848.39
17,13,27538,55384,-206.92,NaN,NaN,NaN,12312,346.33
17,14,75711,55694,1.4163e+05,NaN,NaN,NaN,7704,816.12
17,15,25327,44859,37656,NaN,NaN,NaN,14165,264.83
18,10,27580,55428,-693.09,NaN,NaN,NaN,12002,345.41
19,10,40616,44537,-33.894,NaN,NaN,NaN,20741,726.98
19,16,14845,41004,-931.35,NaN,NaN,NaN,12489,241.74
20,3,33600,54416,-429.25,NaN,NaN,NaN,30617,473.06
20,6,40641,44588,-144.71,NaN,NaN,NaN,21192,728.35
20,8,27669,55634,-558.72,NaN,NaN,NaN,12183,325.63
20,12,30364,44279,-810.69,NaN,NaN,NaN,11066,675.74
20,17,24454,47311,-600.11,NaN,NaN,NaN,10879,407.87
21,11,27737,55766,-496.99,NaN,NaN,NaN,12254,325.98
21,14,2.2383e+05,1.2578e+05,7.9225e+05,NaN,NaN,NaN,10182,662.17
21,15,39896,40997,574.54,NaN,NaN,NaN,6352.6,748.38
21,21,40889,41772,147.51,NaN,NaN,NaN,11225,715.4
22,3,40572,44596,-368.28,NaN,NaN,NaN,20731,697.12
22,5,33571,54434,-888.5,NaN,NaN,NaN,28859,451.26
22,13,17118,16623,-199.73,NaN,NaN,NaN,812.37,134.9
23,2,22645,23533,-245.42,NaN,NaN,NaN,1240.8,203.62
23,7,35734,13697,-288.85,NaN,NaN,NaN,2313.6,119.9
23,9,14696,40726,-559.48,NaN,NaN,NaN,11265,219.85
23,13,17084,16610,-375.28,NaN,NaN,NaN,1309.3,136.09
23,16,27578,55462,-480.48,NaN,NaN,NaN,11088,307.41
24,6,17056,16606,-374.75,NaN,NaN,NaN,942.41,133.97
24,7,35880,14348,-238.85,NaN,NaN,NaN,1656.9,122.52
24,8,30558,44378,-1116.6,NaN,NaN,NaN,10083,606.78
24,14,27498,55243,-244.73,NaN,NaN,NaN,10518,295.25
25,5,30443,44238,-600.47,NaN,NaN,NaN,9875.1,585.67
25,6,27565,55502,-602.56,NaN,NaN,NaN,10366,291.45
25,7,17002,16562,-244.39,NaN,NaN,NaN,1766,127.98
25,10,28361,44332,-38.663,NaN,NaN,NaN,4657.8,501.92
25,11,35907,14376,-201.69,NaN,NaN,NaN,1924.2,118.52
26,2,40618,44561,-239.4,NaN,NaN,NaN,19144,629.38
26,5,2.0119e+05,1.0115e+05,6.4136e+05,NaN,NaN,NaN,1170.3,487.62
26,6,35810,13717,-42.367,NaN,NaN,NaN,1765.4,117.19
26,9,27671,55583,-618.64,NaN,NaN,NaN,10473,285.62
26,10,17070,16603,-363.02,NaN,NaN,NaN,901.54,128.97
26,11,30152,15671,-477.85,NaN,NaN,NaN,2708.3,124.09
26,14,30416,44140,-717.91,NaN,NaN,NaN,8156.4,575.17
27,4,24244,47527,470.81,NaN,NaN,NaN,11581,340.99
