frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,1,44754,23924,-720.13,NaN,NaN,NaN,26182,836.68
1,4,44772,32760,-606.44,NaN,NaN,NaN,53284,637.69
1,7,42063,20538,3199.9,NaN,NaN,NaN,10446,1195.9
2,1,43664,24155,-486.63,NaN,NaN,NaN,31181,837.87
2,4,40079,20213,-1106.8,NaN,NaN,NaN,17832,1144.4
2,6,28907,40265,-369.3,NaN,NaN,NaN,41234,475.84
2,12,45548,24143,6687.3,NaN,NaN,NaN,10286,888.99
3,1,42583,24117,-473.33,NaN,NaN,NaN,36447,876.9
3,2,28909,40270,-464.75,NaN,NaN,NaN,40875,450.52
3,4,24722,35702,-34.599,NaN,NaN,NaN,38008,513.63
3,5,1.7728e+05,77441,5.6352e+05,NaN,NaN,NaN,6111.9,1091.8
3,10,85030,40708,1.7124e+05,NaN,NaN,NaN,18936,922.7
4,1,42242,24164,-490.92,NaN,NaN,NaN,36090,860.87
4,2,28949,40308,-472,NaN,NaN,NaN,42573,432.56
4,7,1.511e+05,66599,4.5568e+05,NaN,NaN,NaN,7902.6,1056.1
4,10,24785,35677,46.963,NaN,NaN,NaN,35018,491.93
5,1,41468,23953,-699.29,NaN,NaN,NaN,36659,884.37
5,2,28982,40326,-695.27,NaN,NaN,NaN,39056,411.05
5,9,41548,25379,166.17,NaN,NaN,NaN,26609,829.21
5,12,37671,54145,-367.61,NaN,NaN,NaN,1348.4,193.89
6,1,28851,40308,-689.42,NaN,NaN,NaN,32909,392.6
6,7,32176,42096,23554,NaN,NaN,NaN,2005.4,364.13
6,8,39182,20360,281.86,NaN,NaN,NaN,9060.5,950.69
6,15,41233,25599,-44.773,NaN,NaN,NaN,24727,812.15
7,1,28767,40144,-917.46,NaN,NaN,NaN,28224,381.25
7,10,22261,23757,429.81,NaN,NaN,NaN,7822.2,720.93
7,12,40917,23051,-374.25,NaN,NaN,NaN,15550,811.03
8,3,28980,40200,-1066.7,NaN,NaN,NaN,24614,362.88
8,7,21513,26426,95.978,NaN,NaN,NaN,23203,565.68
8,8,17772,7720.3,-72240,NaN,NaN,NaN,42046,969.25
8,9,41154,23374,-730.69,NaN,NaN,NaN,14738,783.85
8,12,21753,25668,493.21,NaN,NaN,NaN,24777,637.72
9,3,21548,26202,205.07,NaN,NaN,NaN,18716,548.32
9,4,28783,40045,-1114.6,NaN,NaN,NaN,21648,356.28
9,7,21916,29973,577.52,NaN,NaN,NaN,50920,504.79
9,12,41161,23401,-797.11,NaN,NaN,NaN,12509,766.41
10,1,21495,26365,206.84,NaN,NaN,NaN,15387,525.53
10,4,31296,36940,-418.44,NaN,NaN,NaN,33588,470.5
10,6,44099,32982,486.02,NaN,NaN,NaN,31154,421.69
10,8,41082,23348,-599.11,NaN,NaN,NaN,11684,741.16
10,11,22469,23502,103.36,NaN,NaN,NaN,5882.4,678.58
10,12,39352,20136,219.71,NaN,NaN,NaN,7614.8,836.78
10,15,41727,37773,-1292.8,NaN,NaN,NaN,45498,379.65
11,4,28767,40047,-1047.4,NaN,NaN,NaN,19169,336.66
11,5,35826,36106,-499.53,NaN,NaN,NaN,31202,493.11
11,7,-13681,-18785,-1.9394e+05,NaN,NaN,NaN,36688,405.18
11,8,21516,26338,171.01,NaN,NaN,NaN,14115,508.66
11,9,39344,20107,230.99,NaN,NaN,NaN,8134.8,811.52
11,10,21084,29042,-2307.7,NaN,NaN,NaN,46915,469.81
12,3,28805,40034,-1125.8,NaN,NaN,NaN,21207,338.52
12,9,39431,20204,264.81,NaN,NaN,NaN,7808.7,782.29
12,10,10170,14118,-56327,NaN,NaN,NaN,45935,458.89
12,11,2.3155e+05,1.2216e+05,8.4533e+05,NaN,NaN,NaN,36096,397.99
12,14,38953,32068,108.81,NaN,NaN,NaN,35833,620.44
13,2,41161,23265,-1154.8,NaN,NaN,NaN,14798,692.79
