frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,10,1.3429e+05,86503,3.8781e+05,NaN,NaN,NaN,49628,326.73
1,11,8688.4,5203,-1.0564e+05,NaN,NaN,NaN,25123,737.92
1,31,42325,35860,-34.018,NaN,NaN,NaN,22156,585.08
1,39,33409,31784,-1582.8,NaN,NaN,NaN,13067,885.5
2,5,2.155e+05,1.1471e+05,7.7349e+05,NaN,NaN,NaN,9572.5,460.32
2,6,8651.5,4725.9,-1.071e+05,NaN,NaN,NaN,27986,685.42
2,7,27621,38612,-715.82,NaN,NaN,NaN,48859,413.13
2,21,1.0935e+05,65157,2.6607e+05,NaN,NaN,NaN,33204,490.06
2,42,33300,32947,-37.366,NaN,NaN,NaN,16894,808.2
2,45,1.7609e+05,1.0009e+05,5.7669e+05,NaN,NaN,NaN,34424,610.71
2,47,26659,33038,-4492.3,NaN,NaN,NaN,7578.4,536.88
2,50,1.5513e+05,82294,4.6047e+05,NaN,NaN,NaN,17932,625.05
3,5,21288,22288,-43558,NaN,NaN,NaN,28578,648.2
3,8,27729,38616,-1118,NaN,NaN,NaN,45193,400.35
3,10,38813,31815,-704.38,NaN,NaN,NaN,5588.3,727.47
3,12,26086,35602,-36.796,NaN,NaN,NaN,7428.7,363.15
3,15,33589,33285,-660.29,NaN,NaN,NaN,17484,762.35
3,37,34157,32554,593.49,NaN,NaN,NaN,11216,778.43
3,38,2.6079e+05,1.3039e+05,9.0857e+05,NaN,NaN,NaN,27715,694.56
3,42,31447,34875,72.041,NaN,NaN,NaN,30883,702.52
3,43,25552,39641,-11.195,NaN,NaN,NaN,12388,256.99
4,17,31508,43940,-1031.3,NaN,NaN,NaN,37417,333.13
4,21,39758,36923,795.32,NaN,NaN,NaN,27941,643.85
4,24,26001,35818,-200.65,NaN,NaN,NaN,3461.7,348.97
4,26,33481,33268,-935.05,NaN,NaN,NaN,16660,728.21
4,29,27950,34283,310,NaN,NaN,NaN,10398,503.01
4,38,42207,37934,-59.186,NaN,NaN,NaN,39755,536.93
5,5,70610,59743,1.3221e+05,NaN,NaN,NaN,44889,299.11
5,18,41917,35643,-800.24,NaN,NaN,NaN,22029,547.78
5,20,33537,33366,-1294.8,NaN,NaN,NaN,16708,699.77
5,29,25993,35750,-34.236,NaN,NaN,NaN,2186.1,334.32
5,34,54734,42357,46307,NaN,NaN,NaN,33613,492.12
5,35,36565,35574,-1097,NaN,NaN,NaN,14510,695.91
5,40,1.7215e+05,98691,5.6088e+05,NaN,NaN,NaN,33888,511.76
5,46,2.6429e+05,1.329e+05,9.5842e+05,NaN,NaN,NaN,22495,613.2
6,3,27722,38699,-712.27,NaN,NaN,NaN,40892,349.51
6,5,42545,38031,-241.8,NaN,NaN,NaN,38928,431.61
6,15,11496,4754.6,-1.2995e+05,NaN,NaN,NaN,35989,500.32
6,22,98770,61179,2.38e+05,NaN,NaN,NaN,26287,606.46
6,26,44603,36266,9263.2,NaN,NaN,NaN,16271,564.2
6,29,97759,67266,2.5368e+05,NaN,NaN,NaN,34440,481.91
6,32,33446,33257,-1061.8,NaN,NaN,NaN,13549,676.44
6,33,28504,34485,-1060.1,NaN,NaN,NaN,7707.2,465.54
6,37,25938,36788,-42.82,NaN,NaN,NaN,7831,306.52
6,38,27501,28844,-19392,NaN,NaN,NaN,24198,631.21
7,8,22289,19842,-75608,NaN,NaN,NaN,34554,480.27
7,13,27506,38583,-481.55,NaN,NaN,NaN,35831,325.62
7,19,36718,35487,-1120.5,NaN,NaN,NaN,14611,647.99
7,30,1.6026e+05,86467,4.7972e+05,NaN,NaN,NaN,31462,460.07
