frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,2,43952,33365,-714.47,NaN,NaN,NaN,43901,825.69
1,6,34397,28256,-1086.6,NaN,NaN,NaN,20239,1212
1,8,11941,30982,-931.89,NaN,NaN,NaN,24447,418.68
1,9,50883,56620,260.87,NaN,NaN,NaN,31892,459.48
1,10,25503,19852,51212,NaN,NaN,NaN,25710,642.41
1,11,7514.3,17697,7.031,NaN,NaN,NaN,44305,477.99
1,14,44207,33851,366.23,NaN,NaN,NaN,15791,785.38
1,16,37076,16188,240.97,NaN,NaN,NaN,7561.2,964.16
1,17,3163.1,41892,103.18,NaN,NaN,NaN,15691,287.53
1,20,15690,34005,1383.2,NaN,NaN,NaN,21306,414.92
1,23,18666,3879.7,-1.7747e+05,NaN,NaN,NaN,27562,437.91
2,10,44317,33104,-1127.2,NaN,NaN,NaN,9566.6,725.63
2,11,7258.9,18089,3.4824,NaN,NaN,NaN,43483,412.64
2,14,5951.4,42911,-810.41,NaN,NaN,NaN,37017,274.81
2,18,49715,54792,-1370.2,NaN,NaN,NaN,31348,635.31
2,20,50760,56361,10.073,NaN,NaN,NaN,26716,440.03
3,2,31524,28092,-460.55,NaN,NaN,NaN,22293,1051.4
3,5,35887,28848,19873,NaN,NaN,NaN,15272,1093.3
3,7,5863,42841,-906.39,NaN,NaN,NaN,32530,251.24
3,14,22724,61659,-201.77,NaN,NaN,NaN,24935,307.26
3,15,55594,55513,47813,NaN,NaN,NaN,22530,1010.1
3,17,7533,18741,-1050.6,NaN,NaN,NaN,37235,379.96
3,18,44316,32908,-1444.1,NaN,NaN,NaN,17066,688.87
3,20,11988,31285,-1124.2,NaN,NaN,NaN,18629,350.74
4,3,30657,28042,-415.94,NaN,NaN,NaN,25027,996.04
4,14,21968,33218,-320.26,NaN,NaN,NaN,49803,535.6
4,15,22711,61907,-720.26,NaN,NaN,NaN,23304,296.28
4,16,37170,21874,-840.77,NaN,NaN,NaN,11200,964.06
4,18,74213,77292,1.7734e+05,NaN,NaN,NaN,21889,534.28
4,20,11293,14635,-814.66,NaN,NaN,NaN,18832,499.26
4,21,49854,55315,-1371.3,NaN,NaN,NaN,33424,547.17
4,22,6035.7,42931,-916.96,NaN,NaN,NaN,32685,246.85
5,2,30007,27959,-233.89,NaN,NaN,NaN,28459,945.69
5,5,84136,49185,2.2237e+05,NaN,NaN,NaN,20735,1002.1
5,10,44682,32966,456.55,NaN,NaN,NaN,19410,612.32
5,15,22707,61864,-689.7,NaN,NaN,NaN,21402,278.43
5,17,2.7214e+05,1.4765e+05,9.4393e+05,NaN,NaN,NaN,26998,931.93
5,18,30040,59010,-482.29,NaN,NaN,NaN,24445,512.52
5,21,33940,65240,-238.6,NaN,NaN,NaN,32563,389.81
6,5,44238,32867,-1370.6,NaN,NaN,NaN,19484,573.73
6,7,2.947e+05,1.5739e+05,1.0374e+06,NaN,NaN,NaN,26719,900.34
6,11,33998,65498,-433.99,NaN,NaN,NaN,29985,372.72
6,13,22270,33214,-40.723,NaN,NaN,NaN,51170,501.65
6,14,48130,56106,-2318.9,NaN,NaN,NaN,61927,432.44
6,16,64202,41144,1.4164e+05,NaN,NaN,NaN,29079,948.66
6,18,30074,59283,-374.77,NaN,NaN,NaN,26166,492.02
6,23,34507,59808,616.82,NaN,NaN,NaN,41246,557.3
6,24,41855,30201,580.19,NaN,NaN,NaN,14624,685.87
7,2,28995,27704,-241.33,NaN,NaN,NaN,39138,868.3
7,5,46544,33647,7389.4,NaN,NaN,NaN,15962,539.02
7,7,22084,33191,-201.39,NaN,NaN,NaN,44988,475.67
7,10,36947,57337,239.39,NaN,NaN,NaN,14103,622.17
7,12,28928,64466,115.12,NaN,NaN,NaN,18641,329.62
7,16,31628,63980,-766.67,NaN,NaN,NaN,36794,393.6
7,17,22666,23645,-1017.8,NaN,NaN,NaN,7212.3,869.56
7,19,46293,62350,45632,NaN,NaN,NaN,13755,592.01
7,20,1.9374e+05,1.1418e+05,6.2036e+05,NaN,NaN,NaN,27114,860.36
8,2,44137,32915,-1126.8,NaN,NaN,NaN,15877,516.74
8,6,41834,50989,-947.94,NaN,NaN,NaN,31658,826.27
8,11,67731,46454,1.1524e+05,NaN,NaN,NaN,57707,610.38
8,14,30103,59118,150.09,NaN,NaN,NaN,21901,423.77
