frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,1,5065.1,18111,661.74,NaN,NaN,NaN,36471,317.33
2,1,6355,14419,710,NaN,NaN,NaN,30711,352.52
3,8,7816.5,3151.7,-201.94,NaN,NaN,NaN,15075,581.88
4,4,6818.2,14782,-199.82,NaN,NaN,NaN,24229,302.05
4,5,7814.7,3272.7,-171.43,NaN,NaN,NaN,12125,532.15
4,7,12480,2162.3,-364.91,NaN,NaN,NaN,24263,689.19
5,1,12458,2291.9,-201.36,NaN,NaN,NaN,27423,640.4
5,2,7814.8,3115.7,-248.64,NaN,NaN,NaN,9311.7,502.99
6,3,17057,6117.7,576.11,NaN,NaN,NaN,32471,461.73
6,4,6444.6,14399,839.81,NaN,NaN,NaN,21771,273.1
6,5,16561,2718.1,-1293.4,NaN,NaN,NaN,26260,568.41
6,11,12287,1694.1,16.317,NaN,NaN,NaN,16251,596.78
7,5,2.5048e+05,1.0506e+05,9.9465e+05,NaN,NaN,NaN,10321,435.6
7,8,5473.1,13323,-2897.7,NaN,NaN,NaN,21039,254.91
8,4,5461.1,17915,424.57,NaN,NaN,NaN,17874,204.72
9,1,7754.6,3136.3,173.27,NaN,NaN,NaN,5189.9,392.87
9,5,17964,5601,-274.53,NaN,NaN,NaN,24870,362.31
10,6,7821.9,3021.6,202.17,NaN,NaN,NaN,4277,376.43
10,8,6680.7,14470,-1006.7,NaN,NaN,NaN,19301,233.63
11,4,7828.2,3066.5,225.15,NaN,NaN,NaN,4019.4,356.6
12,2,13408,649.18,369.74,NaN,NaN,NaN,5674.8,433.26
12,7,10976,7232,-42.682,NaN,NaN,NaN,23750,339.92
13,1,16430,2591.5,-1063.1,NaN,NaN,NaN,14047,390.42
14,2,19921,736.57,-438.52,NaN,NaN,NaN,12985,331.52
14,6,10948,7731.3,-482.06,NaN,NaN,NaN,23019,312.47
14,9,10031,9979,1.2807,NaN,NaN,NaN,15200,276.2
15,1,13302,642.59,932.13,NaN,NaN,NaN,5249.7,386.11
15,10,10277,2406.4,555.17,NaN,NaN,NaN,5388.6,358.19
16,4,7914.4,2863.6,149.04,NaN,NaN,NaN,10053,307.28
16,5,6047.9,-8832.6,-33438,NaN,NaN,NaN,4168.6,374.19
16,6,10501,6423.5,-237.69,NaN,NaN,NaN,15868,310.07
16,9,20844,7066.5,388.31,NaN,NaN,NaN,11487,227.28
17,1,16462,2565.3,-1087.7,NaN,NaN,NaN,16693,342.99
17,3,7743.9,3091,559.08,NaN,NaN,NaN,6194.1,296.89
17,6,21536,3094.3,20080,NaN,NaN,NaN,12995,359.63
17,12,20732,7297.5,-488.29,NaN,NaN,NaN,10483,221.36
18,3,2.9427e+05,1.1802e+05,1.1228e+06,NaN,NaN,NaN,8602.1,251.77
18,8,8398.9,2450.6,819.53,NaN,NaN,NaN,3751.1,308.64
18,9,44480,13154,1.2327e+05,NaN,NaN,NaN,2725.4,351.26
18,10,11184,4855.1,-1119.4,NaN,NaN,NaN,11241,313.84
19,3,10907,7719.2,-711.44,NaN,NaN,NaN,15694,273.18
19,6,25201,10036,53274,NaN,NaN,NaN,11338,309.48
19,7,12065,4754.9,550.9,NaN,NaN,NaN,15623,310.85
20,1,12316,6129.2,251.37,NaN,NaN,NaN,13716,286.77
21,2,11017,4256.1,171.23,NaN,NaN,NaN,8494.4,294.04
21,4,16086,766.97,-1093.7,NaN,NaN,NaN,6127.1,314.16
21,8,77135,25248,2.2362e+05,NaN,NaN,NaN,5598.1,228.69
22,2,27831,11190,64152,NaN,NaN,NaN,8490.3,289.6
22,4,16059,698.96,-1334.1,NaN,NaN,NaN,5586.4,304.05
22,6,-2746.7,-30630,-1.1756e+05,NaN,NaN,NaN,5149.2,226.26
22,8,9715,9570.1,633.07,NaN,NaN,NaN,9758.4,230.06
23,3,12391,6935.2,152.63,NaN,NaN,NaN,16905,254.75
23,7,80993,33472,2.8175e+05,NaN,NaN,NaN,9272.8,277.39
23,8,2.9365e+05,1.1775e+05,1.12e+06,NaN,NaN,NaN,5884.9,216.76
25,1,10786,4215.3,624.98,NaN,NaN,NaN,6063.8,261.19
25,2,16063,764.9,-987.45,NaN,NaN,NaN,5603,278.75
25,3,12457,6537.7,106.34,NaN,NaN,NaN,15602,249.29
25,4,1.8992e+05,73167,6.897e+05,NaN,NaN,NaN,6974.1,211.65
25,7,15911,13608,381.21,NaN,NaN,NaN,6518.4,178.06
27,5,16057,987.31,-1370.7,NaN,NaN,NaN,5871.6,260.88
27,6,10977,4877.1,-923.87,NaN,NaN,NaN,4888.3,242.08
27,7,9459.6,10160,100.33,NaN,NaN,NaN,8573.1,202.18
28,1,21719,2082.9,62.177,NaN,NaN,NaN,6349.9,187.37
29,4,-12494,-23584,-1.1477e+05,NaN,NaN,NaN,11436,211.49
29,5,21665,1664.5,-216.35,NaN,NaN,NaN,3862.7,185.03
29,6,11586,5306,-1332.8,NaN,NaN,NaN,7401.9,233.28
29,7,9553.5,10184,-7.1427,NaN,NaN,NaN,8573.9,197.47
30,5,92882,32290,3.1123e+05,NaN,NaN,NaN,6649.7,245
30,8,11527,4801,341.29,NaN,NaN,NaN,6194.9,231.12
30,10,21778,2094.5,-39.333,NaN,NaN,NaN,3057.6,182.79
31,1,16581,5847.5,-1112.4,NaN,NaN,NaN,10312,211.24
31,2,16587,1537.3,-239.63,NaN,NaN,NaN,6568.1,236.38
31,3,12436,6823.4,106.7,NaN,NaN,NaN,10446,217.6
31,6,16634,2456.3,93.76,NaN,NaN,NaN,6487.2,230.71
32,3,16671,5718.9,-1085.5,NaN,NaN,NaN,9471.8,206.46
32,5,11093,4660.1,-444.96,NaN,NaN,NaN,6316.6,221.44
33,1,12309,7357.4,-1130.2,NaN,NaN,NaN,11974,202.55
33,2,1.8027e+05,68875,6.6635e+05,NaN,NaN,NaN,5207.1,217.77
33,3,16788,5858.6,-915.79,NaN,NaN,NaN,9738.1,202.65
33,4,18932,4204.1,22525,NaN,NaN,NaN,2275.3,233.64
34,1,16020,6077.1,747.61,NaN,NaN,NaN,8827,199.82
34,2,68458,24881,2.2738e+05,NaN,NaN,NaN,3162.7,224.21
34,4,16469,1393.4,-21.055,NaN,NaN,NaN,4952.6,220.06
35,3,12505,2047.4,-1315.5,NaN,NaN,NaN,3599,223.81
36,3,12083,1905.7,-591.76,NaN,NaN,NaN,2775.5,214.94
37,2,12066,1833.2,-470.89,NaN,NaN,NaN,2832.1,212.8
37,5,18375,2177.8,42.642,NaN,NaN,NaN,5420.1,193.66
37,6,12320,7577.4,-1073.4,NaN,NaN,NaN,7706.6,189.22
38,2,16363,4957.8,-30.34,NaN,NaN,NaN,7504.6,188.19
38,3,56048,17546,1.4952e+05,NaN,NaN,NaN,5265.7,191.16
38,7,12058,1969.8,-175.07,NaN,NaN,NaN,4108.4,206.26
39,2,16407,5143.3,-185.43,NaN,NaN,NaN,6626.4,187.86
39,5,12306,1957.1,-894.04,NaN,NaN,NaN,3359.2,204.96
39,7,7239.2,4070.3,-922.79,NaN,NaN,NaN,1781.5,177.96
40,1,12110,1916.3,-713.79,NaN,NaN,NaN,4828.4,198.4
40,2,12029,2152.7,9626.9,NaN,NaN,NaN,1959.1,187.85
40,4,7557.5,4397.2,-369.01,NaN,NaN,NaN,1836.8,176.3
40,5,12196,1896.6,-949.13,NaN,NaN,NaN,4198.6,200.76
41,2,17346,3601.1,16863,NaN,NaN,NaN,3991.3,195.16
41,4,21909,5321,95.502,NaN,NaN,NaN,4692.5,151.56
41,5,18868,7335.7,654.31,NaN,NaN,NaN,4701,160.31
41,6,18038,5540.2,-1114.5,NaN,NaN,NaN,3863.9,172.7
42,2,20329,1786.5,-5.1992,NaN,NaN,NaN,3608.5,170.42
42,4,9743.3,10105,-40.381,NaN,NaN,NaN,4603.6,164.59
42,6,17894,5724.4,-928.84,NaN,NaN,NaN,4138.3,170.53
