frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,8,17509,40511,-44.524,NaN,NaN,NaN,25285,299.74
1,13,1165.6,47725,-406.57,NaN,NaN,NaN,18641,478.13
1,15,7182.5,40395,2.7264,NaN,NaN,NaN,20018,535.33
1,23,11108,19875,-12885,NaN,NaN,NaN,6301.8,615.18
1,24,550.86,36118,205.4,NaN,NaN,NaN,14396,630.15
1,26,1216.5,13904,-19844,NaN,NaN,NaN,16054,639.42
2,3,3506.8,31628,-205.54,NaN,NaN,NaN,15809,605.31
2,6,5117,17804,898.13,NaN,NaN,NaN,3685,552.65
2,8,14310,32570,-780.35,NaN,NaN,NaN,16557,475.19
2,11,17610,24834,-1073.6,NaN,NaN,NaN,9860.6,497.69
2,14,24023,57334,88566,NaN,NaN,NaN,18397,410.13
2,16,10626,18938,-15399,NaN,NaN,NaN,3503.3,556.96
2,21,16928,16424,-1276.7,NaN,NaN,NaN,2684.7,452.72
3,3,3467,31460,19.232,NaN,NaN,NaN,15273,576.71
3,8,9337.8,23567,670.33,NaN,NaN,NaN,9680.4,575.08
3,10,717.74,33457,261.41,NaN,NaN,NaN,15865,552.56
3,17,4774.8,18481,-813.91,NaN,NaN,NaN,7360.4,522.67
3,19,2449.6,37303,-474.21,NaN,NaN,NaN,10507,525.3
4,1,3455.3,31545,8.8601,NaN,NaN,NaN,16297,546.38
4,5,14238,32535,-504.23,NaN,NaN,NaN,17536,436.14
4,16,554.63,36385,232.15,NaN,NaN,NaN,12959,506.72
4,18,14154,23500,365.65,NaN,NaN,NaN,4435.4,520.77
4,25,8326.5,30840,257.22,NaN,NaN,NaN,7124.7,528.29
5,2,6966.1,40489,-37.86,NaN,NaN,NaN,15955,427.09
5,4,-21004,-17130,-1.4735e+05,NaN,NaN,NaN,19039,543.84
5,11,7186.6,30923,-36.774,NaN,NaN,NaN,11602,522.82
5,13,14299,32376,-886.31,NaN,NaN,NaN,15833,429.91
5,14,4172.9,18500,-970.73,NaN,NaN,NaN,4433.5,486.89
5,21,5011.9,19944,51.008,NaN,NaN,NaN,8551.8,520.93
5,23,8498.9,30878,892.02,NaN,NaN,NaN,3900.7,509.33
6,4,4226.4,18337,-1127.8,NaN,NaN,NaN,6114,479.22
6,9,3505,31421,-600.99,NaN,NaN,NaN,13650,515.12
6,13,14323,23089,179.71,NaN,NaN,NaN,3580.6,494.82
6,15,14160,32105,-915.78,NaN,NaN,NaN,12557,431.07
6,17,17544,40657,-470.55,NaN,NaN,NaN,19926,237
6,22,45165,55558,1.3792e+05,NaN,NaN,NaN,13241,333.64
7,2,16198,36272,-681.97,NaN,NaN,NaN,20413,312.83
7,4,3760.1,18114,353,NaN,NaN,NaN,2558.1,452.78
7,5,3442.6,31731,25.086,NaN,NaN,NaN,15885,496.15
7,8,4938.3,31731,2603.5,NaN,NaN,NaN,11550,504.17
7,9,51116,68494,1.997e+05,NaN,NaN,NaN,16297,353.14
7,13,7023.6,40743,-369.65,NaN,NaN,NaN,15671,394.16
7,15,14209,32435,-371.06,NaN,NaN,NaN,11927,410.03
7,17,548.71,36333,151.35,NaN,NaN,NaN,13677,464.13
7,24,19276,29191,-42.668,NaN,NaN,NaN,11018,371.87
7,29,17265,28080,-736.09,NaN,NaN,NaN,13218,426.49
8,1,3532.1,31331,-609.74,NaN,NaN,NaN,14273,499.82
8,3,4339.6,18313,-1502.6,NaN,NaN,NaN,6974.4,458.76
8,6,7002.8,40681,-245.81,NaN,NaN,NaN,16368,399.84
8,7,17652,31130,-913.93,NaN,NaN,NaN,23357,384.9
8,14,14473,32655,-731.1,NaN,NaN,NaN,15708,399.09
9,2,3480.4,30815,-147.61,NaN,NaN,NaN,13114,484.89
9,5,6979.1,40742,-43.256,NaN,NaN,NaN,16131,389.34
9,9,2423.6,37257,-599.18,NaN,NaN,NaN,7642.3,444.25
9,10,8832.7,19929,-38957,NaN,NaN,NaN,23124,367.92
9,13,14405,31848,578.05,NaN,NaN,NaN,13452,397.27
9,18,12566,34317,-20309,NaN,NaN,NaN,18215,229.03
