frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,4,16547,29098,-726.2,NaN,NaN,NaN,2099.9,223.59
1,5,37447,19007,-88168,NaN,NaN,NaN,1005.6,111.57
2,5,58452,51440,2.1445e+05,NaN,NaN,NaN,1297.6,99.067
5,4,44439,42991,794.55,NaN,NaN,NaN,2236.4,150.8
5,5,42215,43343,-1359.7,NaN,NaN,NaN,3499.8,143.65
6,3,42133,43283,-1284.6,NaN,NaN,NaN,2209.1,144.74
7,3,18242,44848,-365.85,NaN,NaN,NaN,8179.8,114.41
7,4,24245,67629,673.89,NaN,NaN,NaN,2778.9,79.121
8,6,16666,28996,-1004.3,NaN,NaN,NaN,2208.9,154.44
9,3,17638,29487,-1344.1,NaN,NaN,NaN,3096.9,159.1
9,4,22598,36881,-1281.2,NaN,NaN,NaN,6139.4,157.25
9,6,20235,30843,48.14,NaN,NaN,NaN,4944.1,173.89
9,7,24194,67652,624.11,NaN,NaN,NaN,2977.2,79.423
10,2,16753,29023,-1073.4,NaN,NaN,NaN,2648.7,147.78
11,3,17843,29612,-572.07,NaN,NaN,NaN,3562.8,149.92
11,5,24242,67646,701.13,NaN,NaN,NaN,2851.3,78.957
11,6,5088.5,29358,-914.59,NaN,NaN,NaN,1530.2,89.734
12,2,24257,67651,604.43,NaN,NaN,NaN,3214.8,77.088
12,4,18958,29896,3611.3,NaN,NaN,NaN,3619.6,147.15
13,2,19747,30204,6859.7,NaN,NaN,NaN,3912.5,144.05
13,6,18320,44597,104.64,NaN,NaN,NaN,7155.3,110.28
14,2,24214,67612,709.43,NaN,NaN,NaN,3024.7,77.551
14,3,5481.5,29679,-679.15,NaN,NaN,NaN,1816.1,87.629
14,4,17624,29436,-1378.2,NaN,NaN,NaN,4083.1,144.66
15,4,24247,67650,676.05,NaN,NaN,NaN,2609,78.414
15,7,42699,45762,585.21,NaN,NaN,NaN,5826.3,121.84
16,4,24246,67673,633.37,NaN,NaN,NaN,2654.5,77.506
17,4,24193,67664,648.47,NaN,NaN,NaN,2602.2,77.186
17,6,17308,41907,663.01,NaN,NaN,NaN,4985.5,113.46
18,6,24267,67646,635.81,NaN,NaN,NaN,2786.2,77.299
19,3,24244,67586,630.42,NaN,NaN,NaN,2961.3,77.697
19,6,1.9436e+05,1.0924e+05,7.754e+05,NaN,NaN,NaN,1579,86.538
19,7,8785,12575,-5471.9,NaN,NaN,NaN,2203.7,85.363
20,4,24216,67599,624.41,NaN,NaN,NaN,2903.9,77.874
23,7,24251,67593,625.16,NaN,NaN,NaN,2649.4,76.583
24,4,2.8734e+05,1.4934e+05,1.1617e+06,NaN,NaN,NaN,1652.2,83.902
24,7,48655,48402,331.09,NaN,NaN,NaN,5977.9,104.29
26,5,24260,67609,659.17,NaN,NaN,NaN,2719.7,77.669
27,5,19428,42266,2577,NaN,NaN,NaN,4872.4,109.06
27,7,48644,48412,533.05,NaN,NaN,NaN,6468.1,102.43
28,4,35058,31025,-63051,NaN,NaN,NaN,6487.6,101.74
29,3,5536.5,14156,-341.11,NaN,NaN,NaN,2422,77.115
31,5,49785,46191,-198.03,NaN,NaN,NaN,4533.4,104.35
35,2,5308.9,14736,-1490.2,NaN,NaN,NaN,2178,74.629
35,5,48609,48261,207.98,NaN,NaN,NaN,5905.2,100.31
35,6,49800,46183,500.31,NaN,NaN,NaN,4052.4,102.42
36,1,38548,51076,-1318.2,NaN,NaN,NaN,5746.2,92.339
37,1,38573,51073,-1487.2,NaN,NaN,NaN,5436.9,91.732
37,4,48454,48389,-29.42,NaN,NaN,NaN,5683.7,99.4
38,1,38990,51134,-139.28,NaN,NaN,NaN,5071.2,91.163
38,2,5729.1,14426,570.66,NaN,NaN,NaN,2048,75.753
