frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,2,24097,35830,214.75,NaN,NaN,NaN,33920,378.4
1,4,21023,26338,-9485.1,NaN,NaN,NaN,15426,486.63
1,10,23765,32740,-835.53,NaN,NaN,NaN,26831,458.45
1,27,1.1742e+05,56615,3.1519e+05,NaN,NaN,NaN,1310.9,477.88
1,28,22449,4138.9,-70333,NaN,NaN,NaN,2007.1,578.08
1,31,32198,34881,1511.6,NaN,NaN,NaN,24238,566.12
2,2,11485,16523,-55662,NaN,NaN,NaN,18703,329.46
2,6,38302,24628,-246.45,NaN,NaN,NaN,5703.4,422.09
2,9,31266,34354,2.8749,NaN,NaN,NaN,16366,409.49
2,16,24924,30626,785.88,NaN,NaN,NaN,15269,372.78
2,20,2.2106e+05,1.044e+05,7.729e+05,NaN,NaN,NaN,9424.1,505.73
2,22,25093,20865,-42758,NaN,NaN,NaN,16872,428.78
2,29,34812,44196,-17.025,NaN,NaN,NaN,7783.6,188.01
3,3,24437,30574,-401.24,NaN,NaN,NaN,11914,317.28
3,18,33834,23336,133.16,NaN,NaN,NaN,2774.4,414.36
3,23,29849,25653,721.49,NaN,NaN,NaN,9396.2,427.13
3,24,38317,24426,-50.437,NaN,NaN,NaN,912.92,354.29
4,2,38267,26355,-34.825,NaN,NaN,NaN,3065.4,318.69
4,5,30112,24232,-238.53,NaN,NaN,NaN,1541.2,361.7
4,6,34585,25361,-915.3,NaN,NaN,NaN,8445.8,360.27
4,7,31159,34324,-1502.5,NaN,NaN,NaN,13198,298.77
4,8,24786,27253,311.63,NaN,NaN,NaN,5018.6,292.26
5,2,30168,23559,193.95,NaN,NaN,NaN,1805.2,328.61
5,5,30443,38686,-589.45,NaN,NaN,NaN,12935,203.67
5,8,29693,25965,299.41,NaN,NaN,NaN,8893.3,331.7
5,10,26871,28449,-302.16,NaN,NaN,NaN,11122,301.77
5,11,38168,26519,214.62,NaN,NaN,NaN,2385.8,279.47
6,1,30144,23558,211.95,NaN,NaN,NaN,2278.7,294.17
6,3,31151,34201,-1103.3,NaN,NaN,NaN,9514.4,246.35
6,4,29784,25839,672.83,NaN,NaN,NaN,7595.3,298.87
6,5,30468,38481,109.47,NaN,NaN,NaN,12148,191.87
6,11,35556,33861,-218.08,NaN,NaN,NaN,9036.2,233.93
6,12,31972,24602,-143.81,NaN,NaN,NaN,3499.2,298.61
6,14,42764,34816,-409.41,NaN,NaN,NaN,6730.5,154.41
6,15,31071,17762,-31092,NaN,NaN,NaN,2232.7,259.19
6,18,24687,30456,-599.2,NaN,NaN,NaN,7753.9,230.4
