frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,2,23094,36497,-810.53,NaN,NaN,NaN,26896,519.9
1,3,16060,36087,-1283.9,NaN,NaN,NaN,11157,331.15
2,11,42308,48503,-405.34,NaN,NaN,NaN,18366,347.64
3,3,44698,45302,818.92,NaN,NaN,NaN,12425,321.73
3,4,34732,27877,-797.3,NaN,NaN,NaN,6102.5,365.47
3,6,48282,39918,296.27,NaN,NaN,NaN,11230,324.06
3,7,48004,37352,625.01,NaN,NaN,NaN,9163.2,345.45
3,11,19112,41584,12182,NaN,NaN,NaN,13174,161.69
4,1,30963,38932,-709.99,NaN,NaN,NaN,1025.2,289.66
4,2,34902,27825,-839.53,NaN,NaN,NaN,6350.7,313.24
4,3,23624,33727,-589.71,NaN,NaN,NaN,7678.9,270.27
4,5,38272,44548,-328.8,NaN,NaN,NaN,11941,308.42
4,7,15739,36263,-242.5,NaN,NaN,NaN,6167.2,169.17
4,8,18933,37773,-930.9,NaN,NaN,NaN,14893,205.55
4,12,14809,38680,-201.53,NaN,NaN,NaN,4029.4,142.09
4,13,39057,24829,-202.2,NaN,NaN,NaN,5950.2,311.41
5,1,28640,25086,-199.89,NaN,NaN,NaN,2263.3,234.03
5,4,18534,37448,217.07,NaN,NaN,NaN,11079,177.63
5,9,38197,44168,-599.59,NaN,NaN,NaN,9076.5,287.53
5,10,14717,38117,-198.51,NaN,NaN,NaN,3653.4,128.09
6,5,31217,47737,-1122.5,NaN,NaN,NaN,7931.6,183.6
6,12,30064,40980,-44.692,NaN,NaN,NaN,2315.5,229.88
7,1,18378,37482,-35.025,NaN,NaN,NaN,10335,156.71
7,3,49587,46490,138.21,NaN,NaN,NaN,6315.3,151.47
7,4,14717,38228,-374.91,NaN,NaN,NaN,4329.2,123.84
7,13,25202,32806,-611.76,NaN,NaN,NaN,2821.9,214.55
7,15,31336,55224,263.42,NaN,NaN,NaN,3586.3,106.84
8,2,18390,37440,-487.98,NaN,NaN,NaN,10404,149.59
8,4,41865,41390,-326.82,NaN,NaN,NaN,4260.9,230.76
8,6,14776,38657,-201.08,NaN,NaN,NaN,3601.6,114.99
8,7,29166,25927,-931.24,NaN,NaN,NaN,1945.1,185.77
8,9,36114,32779,-73.377,NaN,NaN,NaN,2166.8,230.67
9,2,37224,50535,377.91,NaN,NaN,NaN,10441,151.43
9,6,79933,50474,1.2776e+05,NaN,NaN,NaN,6338,191.79
9,10,18395,37254,-365.31,NaN,NaN,NaN,6860.4,137.4
9,11,44487,36413,-0.14059,NaN,NaN,NaN,3893.2,215.59
9,13,24365,37269,-414.39,NaN,NaN,NaN,5301.9,166.22
10,1,32868,23828,104.56,NaN,NaN,NaN,2901.1,171.16
10,5,31461,27427,231.36,NaN,NaN,NaN,3061.1,175.84
10,6,41209,45937,-239.34,NaN,NaN,NaN,7214,177.41
10,9,44521,36430,-279.46,NaN,NaN,NaN,4846.7,203.1
11,4,31438,27428,363.13,NaN,NaN,NaN,3251.9,167.83
11,6,15603,35455,-1038.2,NaN,NaN,NaN,1632.2,114.88
11,7,27715,27809,388.53,NaN,NaN,NaN,3223.2,159.84
11,8,49459,46503,175.39,NaN,NaN,NaN,3823.5,124.64
11,9,44558,36588,-415.77,NaN,NaN,NaN,5802.1,194.71
12,2,32872,23769,119.95,NaN,NaN,NaN,1610.4,156.12
12,4,49584,46552,59.414,NaN,NaN,NaN,3523.9,118.1
13,6,49534,46530,70.323,NaN,NaN,NaN,3685.7,114.12
13,10,18073,36066,-361.65,NaN,NaN,NaN,4645.5,116.57
