#track,frame,x,y,z
1,28,32349.0,28687.0,929.79
1,29,32428.0,28536.0,673.66
2,1,20202.0,19006.0,-1098.6
3,1,38787.0,33113.0,-914.55
4,1,24286.0,43343.0,-285.78
5,1,25598.0,55583.0,-1010.0
5,3,25496.0,55495.0,-600.75
5,4,25612.0,55690.0,-757.99
5,5,25555.0,55544.0,-757.74
5,6,25606.0,55635.0,-670.97
5,8,25742.0,55884.0,-600.88
5,10,25421.0,55303.0,-245.19
5,11,25431.0,55591.0,-44.808
6,1,44252.0,42582.0,-717.92
7,28,26416.0,10173.0,-65689.0
8,2,31056.0,30721.0,146.99
8,3,30971.0,30763.0,2.243
8,4,30995.0,30733.0,-18.169
8,5,31007.0,30663.0,-0.545
8,6,31107.0,30577.0,206.13
8,7,31130.0,30669.0,227.65
8,8,31094.0,30584.0,-33.922
8,9,31125.0,30625.0,76.494
8,10,31043.0,30911.0,5.0897
8,11,31074.0,30761.0,-61.113
8,12,30953.0,31050.0,-226.46
8,13,31262.0,30914.0,490.4
8,14,31192.0,30967.0,353.82
8,15,31167.0,30997.0,281.67
8,16,31229.0,31055.0,640.15
8,17,31229.0,30955.0,370.32
8,19,31220.0,31102.0,-199.42
8,21,31248.0,30980.0,228.47
9,2,42102.0,29247.0,-452.96
10,2,29001.0,37935.0,551.46
10,3,28813.0,37952.0,676.8
10,4,28779.0,37898.0,400.94
10,5,28764.0,37803.0,588.81
10,6,28793.0,37777.0,582.96
10,8,29014.0,37664.0,867.21
10,9,29050.0,37703.0,810.22
10,10,28984.0,37760.0,675.83
10,11,28983.0,37779.0,462.33
11,2,45816.0,33122.0,-1094.3
12,2,20564.0,49256.0,20207.0
13,3,66428.0,44191.0,136720.0
14,3,156820.0,77532.0,477430.0
15,3,70383.0,42710.0,99743.0
16,3,2788.5,26357.0,-67878.0
17,3,18360.0,48354.0,11272.0
18,4,32428.0,30762.0,-721.33
18,5,32421.0,30854.0,-1026.4
18,7,33071.0,31546.0,-942.93
18,9,33206.0,31541.0,-916.57
18,10,33051.0,31377.0,-1092.3
19,4,124150.0,63656.0,343230.0
20,4,-14780.0,-9680.6,-187380.0
21,4,43788.0,35054.0,921.86
21,5,43707.0,34924.0,577.23
22,4,30137.0,45650.0,-36.94
23,4,11984.0,50604.0,-19.094
24,4,256120.0,145570.0,950560.0
25,4,8797.7,-2144.8,-164130.0
26,5,20116.0,39397.0,-11104.0
27,5,281970.0,157690.0,1089400.0
28,5,24398.0,47569.0,630.51
29,5,193560.0,107050.0,619660.0
30,6,32841.0,32085.0,301.46
31,6,38907.0,28954.0,180.01
32,6,23359.0,42912.0,-867.14
32,7,23352.0,42933.0,-587.88
32,8,23420.0,43056.0,-701.5
32,9,23547.0,43092.0,-944.27
32,10,23490.0,42967.0,-481.12
33,6,30475.0,36533.0,-29.148
34,6,166450.0,107070.0,578810.0
35,7,29798.0,34568.0,-359.4
35,8,29711.0,34263.0,-38.117
35,9,29713.0,34227.0,31.412
35,11,29779.0,34468.0,-410.92
35,12,29756.0,34386.0,-200.36
35,14,29726.0,34135.0,101.07
35,15,29705.0,34129.0,153.76
35,16,29746.0,33756.0,225.25
35,17,29709.0,33820.0,237.18
35,18,29630.0,34088.0,207.36
35,20,29724.0,33779.0,299.88
35,21,29652.0,34217.0,-3.5881
35,23,29591.0,34354.0,63.125
35,25,29613.0,34203.0,-36.189
35,26,29707.0,33910.0,489.78
35,27,29619.0,33695.0,238.96
36,7,19346.0,685.19,-99736.0
37,7,166830.0,86498.0,499450.0
38,7,39353.0,28654.0,-1304.4
38,8,39318.0,28637.0,-1105.9
38,10,39295.0,28504.0,-1287.9
39,7,47619.0,32546.0,214.82
39,9,47543.0,32153.0,238.52
40,7,-1074.5,12188.0,-126630.0
41,8,25002.0,8179.8,-72370.0
42,8,21175.0,44186.0,-26.102
42,10,21039.0,44214.0,-20.519
42,11,21136.0,44443.0,-34.348
42,12,21141.0,44140.0,-0.89037
42,13,21175.0,44179.0,-42.298
43,8,43016.0,41656.0,101.71
44,8,21519.0,43773.0,-13022.0
45,8,221780.0,117930.0,736970.0
46,9,36839.0,29777.0,248.44
46,11,36937.0,29567.0,21.136
46,13,36952.0,29559.0,205.01
46,14,36969.0,29386.0,0.85153
46,15,36997.0,29486.0,-237.97
46,17,36924.0,29578.0,-374.7
46,18,36972.0,29409.0,97.394
46,19,36777.0,29435.0,109.21
46,20,36742.0,29583.0,-44.522
46,22,36638.0,29501.0,121.16
46,23,36646.0,29623.0,-39.234
46,24,36717.0,29532.0,25.329
47,9,21059.0,43850.0,-819.81
48,9,47540.0,31400.0,29782.0
49,9,43995.0,34988.0,933.56
49,10,43731.0,35122.0,283.49
49,11,43708.0,34936.0,-1.0681
49,12,43581.0,35005.0,-241.88
49,14,43765.0,34974.0,65.265
50,9,21984.0,46899.0,-1075.2
51,9,15208.0,35012.0,-44589.0
52,9,7373.3,-3256.5,-162420.0
53,10,187550.0,90354.0,603480.0
54,10,24779.0,47613.0,-1126.3
54,11,24654.0,47576.0,-1125.9
55,10,34774.0,45021.0,-1063.9
56,11,42126.0,29733.0,-36.717
57,11,34702.0,32287.0,641.07
58,11,29546.0,40526.0,-44.727
59,11,55836.0,35021.0,62695.0
60,11,76458.0,52848.0,166790.0
61,11,28124.0,52018.0,819.53
62,12,15175.0,772.56,-103760.0
63,12,29612.0,28543.0,-7224.1
64,12,50052.0,32630.0,39056.0
65,39,11017.0,4589.7,-95352.0
66,39,40181.0,28325.0,3.0441
66,40,40268.0,28333.0,-390.48
66,41,40566.0,28458.0,-915.84
66,42,40416.0,28388.0,-622.51
66,44,40090.0,28306.0,9.2098
66,45,40132.0,28436.0,-42.895
67,39,49047.0,29993.0,4398.9
68,39,29858.0,33456.0,-10.574
69,39,58316.0,41116.0,92657.0
70,39,144460.0,93736.0,462210.0
71,40,31257.0,31605.0,-915.06
72,40,615.29,-21446.0,-180660.0
73,40,28512.0,51501.0,-832.84
74,40,19594.0,49272.0,-761.49
75,41,122290.0,64262.0,348020.0
76,41,42022.0,34094.0,-3738.5
77,41,41803.0,29173.0,-1044.6
78,41,161110.0,90723.0,503650.0
79,41,173640.0,91020.0,582530.0
80,41,36174.0,38674.0,-347.51
81,41,36845.0,30497.0,-335.85
81,42,36897.0,30244.0,-36.272
81,44,36815.0,30385.0,-247.56
81,46,36683.0,30226.0,-397.66
81,47,36788.0,30499.0,-40.99
81,48,36749.0,31110.0,4.2072
81,50,36919.0,31245.0,282.6
81,51,36862.0,31221.0,406.06
82,42,37090.0,28976.0,-1083.0
83,42,37734.0,38938.0,104.6
84,42,20968.0,18300.0,-45983.0
85,42,29839.0,34404.0,-200.73
85,43,29756.0,33803.0,-150.19
85,44,29816.0,33535.0,-393.13
86,42,31549.0,33851.0,329.69
87,42,34408.0,46692.0,-1328.6
88,43,31741.0,39530.0,13.684
88,44,31808.0,39586.0,-173.89
88,46,31865.0,39324.0,-44.422
89,43,43721.0,31499.0,26187.0
90,43,31144.0,31436.0,-986.64
90,44,31147.0,31551.0,-1047.5
91,43,33013.0,31187.0,577.57
92,43,215790.0,122340.0,762690.0
93,43,36999.0,31216.0,-164.04
93,45,36934.0,30675.0,-690.35
94,43,30123.0,34785.0,-591.82
94,44,30168.0,34272.0,-946.33
94,46,30085.0,34291.0,-744.53
95,44,106200.0,41921.0,221810.0
96,44,29605.0,42534.0,-1370.1
96,46,29147.0,42344.0,-749.12
96,48,29284.0,42530.0,-812.02
96,49,29131.0,42596.0,-374.07
97,44,34343.0,31007.0,5.6178
98,44,19092.0,49047.0,-1477.0
99,44,31628.0,33940.0,-923.71
100,45,13749.0,39784.0,-1167.8
100,47,13601.0,39652.0,-1097.8
101,45,42007.0,29386.0,-926.95
102,45,44857.0,36263.0,5399.8
103,45,33803.0,29753.0,2310.4
104,45,43311.0,32281.0,-1370.5
105,45,48510.0,43681.0,43927.0
106,45,39765.0,33491.0,16853.0
107,45,23488.0,21715.0,-33602.0
108,45,43443.0,43419.0,-367.25
108,46,43468.0,43651.0,203.95
109,46,9584.6,-2256.5,-112740.0
110,46,3270.9,-6452.0,-135270.0
111,46,32259.0,35449.0,-366.34
112,46,33437.0,46806.0,-369.4
112,48,33049.0,46467.0,-933.87
112,49,33023.0,46419.0,-916.7
