#track,frame,x,y,z
1,341,31966.0,26798.0,-1169.2
1,343,32109.0,26770.0,-1073.1
2,350,32565.0,33146.0,-1362.5
3,1,54307.0,44106.0,624.18
4,340,35531.0,28108.0,11938.0
5,1,67056.0,33015.0,324.71
6,2,65070.0,32967.0,255.63
7,341,123290.0,70665.0,368680.0
8,2,51863.0,44467.0,809.14
9,4,11960.0,36966.0,-732.3
10,4,62384.0,31588.0,-933.5
11,351,145620.0,68909.0,436630.0
12,4,49376.0,44883.0,924.19
13,6,10025.0,39523.0,-1015.3
13,7,9795.8,39357.0,-1024.6
14,341,32309.0,32914.0,-970.84
15,5,59233.0,29255.0,-1334.3
16,8,168050.0,105620.0,645320.0
17,346,32034.0,26792.0,-949.36
17,347,31897.0,26649.0,-1003.3
17,348,32071.0,27076.0,-1370.1
18,6,60792.0,32441.0,-495.13
19,342,42566.0,31920.0,-484.7
20,7,60648.0,32916.0,262.57
21,343,33659.0,39124.0,-23840.0
22,8,49841.0,29809.0,-22748.0
23,345,239670.0,114260.0,851930.0
24,10,48466.0,29510.0,-24042.0
25,346,32469.0,32939.0,-1127.1
26,8,57939.0,29917.0,-907.44
26,9,57368.0,29898.0,-910.88
27,347,13482.0,7911.9,34.16
28,12,9853.7,39392.0,-1132.3
29,349,37782.0,23845.0,49.239
30,12,56748.0,29899.0,2153.3
31,13,56789.0,32887.0,573.04
32,349,44374.0,31623.0,47818.0
33,15,56248.0,32253.0,-758.83
33,16,55759.0,32226.0,-512.45
33,17,55205.0,32245.0,-468.38
33,18,54838.0,32285.0,-822.56
33,19,54503.0,32316.0,-709.92
33,21,53773.0,32266.0,-925.73
33,22,53106.0,32271.0,-1281.6
33,24,52451.0,32264.0,-1056.7
34,18,55757.0,29095.0,25486.0
35,18,55016.0,32633.0,473.51
35,20,54518.0,32439.0,252.47
35,21,53864.0,32728.0,476.95
36,19,66551.0,33476.0,68911.0
37,19,54835.0,29491.0,-479.4
38,20,113080.0,52875.0,259190.0
39,20,50014.0,29496.0,-13376.0
40,20,56157.0,32815.0,5210.9
41,23,52657.0,32387.0,-193.91
41,25,51888.0,32379.0,61.569
41,26,51399.0,32444.0,639.18
41,27,51718.0,32468.0,224.03
42,23,91301.0,47394.0,154950.0
43,24,40145.0,25159.0,-1072.3
44,24,90560.0,47263.0,153950.0
45,25,48535.0,26543.0,-1370.8
46,24,40680.0,24446.0,-39444.0
47,26,55179.0,33107.0,10134.0
48,26,50189.0,31619.0,-3881.7
49,27,73564.0,36451.0,98690.0
50,27,50636.0,32565.0,-445.49
51,28,48435.0,29079.0,-10503.0
52,27,51427.0,32266.0,-1294.1
53,29,62348.0,31906.0,53862.0
54,30,48783.0,26143.0,570.91
54,32,48610.0,26073.0,670.39
54,33,48831.0,26116.0,487.03
54,34,48753.0,26105.0,800.74
54,36,48812.0,26164.0,663.2
54,37,48844.0,26143.0,352.89
54,38,48797.0,26064.0,549.66
54,40,48809.0,26160.0,357.5
54,41,48751.0,25970.0,849.14
54,42,48921.0,26154.0,448.24
54,43,48788.0,26213.0,632.52
54,44,48886.0,26142.0,589.36
54,45,48935.0,26161.0,280.32
54,47,48957.0,25981.0,499.61
55,29,113710.0,57890.0,254990.0
56,30,25989.0,50901.0,-600.85
56,31,25997.0,50914.0,-726.58
57,31,51433.0,31822.0,-828.57
58,30,49693.0,32197.0,-466.1
58,31,49372.0,32320.0,-983.61
59,31,49046.0,26701.0,-62.951
60,34,38492.0,24839.0,-1087.5
60,36,38033.0,24946.0,-199.48
61,32,48675.0,32394.0,-428.24
62,33,19797.0,33985.0,-368.72
63,34,38381.0,18981.0,-46903.0
64,41,26038.0,50917.0,-919.07
64,42,26078.0,50983.0,-609.59
64,43,26003.0,50961.0,-595.18
64,44,26055.0,50902.0,-945.26
64,46,26113.0,50938.0,-600.81
64,47,26086.0,50971.0,-454.73
64,48,26050.0,50938.0,-731.93
64,49,26042.0,50960.0,-730.81
64,50,26031.0,50918.0,-783.22
64,51,26066.0,50972.0,-610.1
64,52,26075.0,50952.0,-484.35
64,53,26066.0,50987.0,-633.71
64,54,26102.0,50962.0,-718.77
64,55,26063.0,50986.0,-687.47
64,56,26095.0,50978.0,-632.14
64,57,26090.0,51008.0,-728.97
64,58,26051.0,50960.0,-605.73
64,59,26070.0,50955.0,-612.54
64,60,26052.0,50945.0,-723.35
64,62,26100.0,50967.0,-481.72
64,63,26083.0,50995.0,-711.44
64,65,26014.0,50844.0,-946.33
64,66,26054.0,50828.0,-931.68
64,67,26065.0,50964.0,-949.24
64,68,26082.0,50903.0,-810.78
64,69,26003.0,50936.0,-989.54
64,70,26055.0,50838.0,-810.54
64,71,26098.0,51013.0,-620.64
64,72,26080.0,50979.0,-737.97
64,73,26100.0,50959.0,-948.26
64,74,26065.0,50946.0,-788.4
64,75,26097.0,50990.0,-915.3
64,76,26041.0,50918.0,-693.27
64,77,26088.0,50989.0,-936.0
64,78,26152.0,51047.0,-934.68
64,79,26039.0,50955.0,-797.28
64,80,26076.0,50916.0,-948.31
64,81,26075.0,50927.0,-934.01
64,82,26063.0,51025.0,-745.95
64,83,25991.0,50838.0,-731.94
64,84,26081.0,51014.0,-654.25
64,85,26048.0,50993.0,-650.0
64,86,26104.0,51015.0,-736.3
64,87,26053.0,51020.0,-675.25
64,88,26062.0,50993.0,-822.74
64,89,26044.0,50972.0,-712.64
64,90,26039.0,50892.0,-1002.4
64,91,26058.0,50996.0,-723.55
64,92,26031.0,50913.0,-915.13
64,93,26061.0,51033.0,-738.84
64,94,26048.0,50974.0,-735.76
64,95,26085.0,50900.0,-802.83
64,96,26029.0,50893.0,-816.09
64,97,26055.0,50972.0,-683.05
64,98,26094.0,50990.0,-715.55
64,99,26021.0,50925.0,-805.02
64,100,26048.0,50846.0,-727.62
64,101,26124.0,51032.0,-600.85
64,102,26085.0,51047.0,-487.34
64,103,26034.0,50915.0,-718.15
64,104,26018.0,50905.0,-878.9
64,105,26014.0,50928.0,-701.29
64,106,26059.0,50966.0,-900.1
64,107,26127.0,51054.0,-716.86
64,108,26107.0,51030.0,-717.03
64,109,26116.0,51015.0,-637.96
64,110,26098.0,50958.0,-735.69
64,111,26072.0,50972.0,-716.41
64,112,26044.0,50927.0,-720.46
64,113,26099.0,50967.0,-656.11
64,114,26084.0,50956.0,-836.2
64,115,26066.0,50952.0,-914.62
64,116,26106.0,50962.0,-809.82
64,117,26049.0,50938.0,-885.84
64,118,26091.0,51041.0,-810.78
64,119,26045.0,50908.0,-715.88
64,120,26055.0,50971.0,-770.83
64,121,26065.0,50959.0,-735.68
64,122,26125.0,50995.0,-940.55
64,123,26117.0,50992.0,-884.53
64,124,26081.0,50902.0,-723.81
64,125,26103.0,50929.0,-710.42
64,126,26137.0,51029.0,-736.15
64,127,26135.0,50982.0,-809.71
64,128,26101.0,51054.0,-688.0
64,129,26135.0,51044.0,-599.42
64,130,26205.0,51386.0,-54.336
64,131,26098.0,51036.0,-716.19
64,132,26114.0,51043.0,-948.21
64,133,26112.0,51015.0,-949.3
64,134,26127.0,51045.0,-753.85
64,135,26152.0,51096.0,-935.69
64,136,26115.0,51025.0,-671.55
64,137,26070.0,50966.0,-736.11
64,138,26133.0,50981.0,-708.54
64,139,26166.0,51002.0,-375.38
64,140,26095.0,50933.0,-661.35
64,141,26118.0,51034.0,-558.41
64,142,26102.0,50937.0,-597.16
64,143,26049.0,50858.0,-721.42
64,144,26049.0,50914.0,-803.46
64,145,26142.0,50988.0,-778.52
64,146,26118.0,50989.0,-689.27
64,147,26092.0,51026.0,-600.69
64,148,26100.0,50913.0,-638.73
64,149,26047.0,50926.0,-809.7
64,150,26033.0,50868.0,-810.07
64,151,26157.0,51095.0,-596.67
64,152,26083.0,50961.0,-716.47
64,153,26127.0,50968.0,-916.83
64,155,26097.0,51061.0,-600.79
64,156,26110.0,50972.0,-948.1
64,157,26073.0,50994.0,-722.0
65,35,119010.0,55566.0,286140.0
66,35,21319.0,44629.0,-232.2
66,36,21255.0,44683.0,-475.22
66,37,21263.0,44831.0,-37.372
66,38,21192.0,44534.0,-646.44
67,35,25992.0,50962.0,-666.64
68,37,131960.0,59032.0,324870.0
69,40,76342.0,35469.0,95843.0
70,42,30774.0,27560.0,12.971
71,43,83094.0,43170.0,180760.0
72,44,37977.0,24747.0,-1056.3
73,44,21261.0,44878.0,-33.808
74,44,20393.0,35076.0,-921.85
75,46,56242.0,29237.0,27208.0
76,48,10594.0,-26545.0,-189830.0
77,47,38114.0,24840.0,-1089.0
78,50,193400.0,84908.0,578230.0
79,50,30792.0,27507.0,121.58
80,50,54965.0,29817.0,-26.752
81,51,38161.0,24869.0,-914.84
82,50,32523.0,32751.0,-18.234
82,51,32326.0,32996.0,-12.487
83,51,62552.0,29890.0,39631.0
84,51,32177.0,25004.0,882.07
84,52,32370.0,25219.0,149.57
84,54,32246.0,24991.0,444.77
85,52,124580.0,64783.0,371980.0
86,53,48883.0,26360.0,654.01
87,53,21392.0,44797.0,-63.319
87,55,21303.0,44847.0,-40.986
87,56,21315.0,44822.0,-9.1946
88,54,32867.0,26389.0,-1128.1
89,55,55289.0,27057.0,-953.54
90,349,32138.0,32112.0,-40.855
91,54,31337.0,29868.0,30.095
92,350,242430.0,115780.0,865140.0
93,55,11450.0,-7421.2,-115160.0
94,350,48511.0,23600.0,648.13
95,55,191490.0,93567.0,648690.0
96,350,43239.0,26169.0,16513.0
97,57,32516.0,25185.0,372.92
98,350,15837.0,31363.0,-1286.9
