#track,frame,x,y,z
1,715,-459.53,-2729.6,-189780.0
2,715,23921.0,37316.0,-612.38
2,716,24057.0,37376.0,-377.94
3,716,27649.0,42872.0,-35507.0
4,716,38035.0,50201.0,270.1
5,717,18047.0,19779.0,-1370.1
6,717,49470.0,48590.0,-367.75
7,717,36263.0,49907.0,318.14
8,1,43328.0,26169.0,-721.52
9,717,22630.0,37508.0,-927.27
10,718,32718.0,49752.0,224.27
10,720,32690.0,49666.0,-198.35
10,722,32704.0,49975.0,155.58
10,723,32698.0,49812.0,-44.367
10,724,32609.0,49361.0,-201.04
10,725,32593.0,49643.0,-12.692
10,726,32673.0,49586.0,104.14
10,727,32576.0,49682.0,-42.077
10,728,32632.0,49726.0,113.47
10,729,32761.0,49741.0,24.32
10,730,32742.0,49777.0,123.18
10,731,32737.0,49926.0,-39.778
10,732,32767.0,49719.0,101.0
10,734,32726.0,49725.0,-6.9719
10,735,32819.0,49909.0,12.791
11,718,14571.0,39321.0,200.35
12,718,37800.0,50223.0,-1511.7
13,719,37675.0,10614.0,-466.13
14,719,155450.0,93098.0,539730.0
15,1,53548.0,48279.0,-506.16
16,720,16710.0,10039.0,88.869
17,720,43300.0,48874.0,-1043.0
17,721,43259.0,48838.0,-809.92
17,722,43306.0,48912.0,-574.07
17,723,43273.0,48807.0,-740.44
18,720,13259.0,24993.0,-1384.0
18,721,13234.0,25002.0,-1076.0
18,722,13235.0,24922.0,-1371.6
19,720,21155.0,37960.0,606.56
20,721,37795.0,50685.0,-600.51
21,2,32332.0,37318.0,-6205.6
22,721,17697.0,28361.0,-1077.6
22,722,17771.0,28445.0,-914.54
22,724,17800.0,28410.0,-373.93
22,726,17815.0,28345.0,-277.44
22,727,17760.0,28469.0,-809.77
22,728,17817.0,28362.0,-626.97
23,2,39388.0,24434.0,-1020.7
24,722,11894.0,21015.0,-114070.0
25,2,40782.0,28512.0,905.62
26,724,37691.0,10596.0,-44.821
26,726,37687.0,10335.0,-247.6
27,3,52453.0,49990.0,254.8
28,724,48496.0,56408.0,-198.75
29,2,52805.0,48472.0,-1052.5
30,724,14297.0,39825.0,607.99
31,724,37368.0,16069.0,-966.28
32,2,52607.0,52178.0,-1122.8
33,726,28306.0,26226.0,3.4651
34,726,20265.0,21123.0,-681.0
35,726,105380.0,79226.0,367040.0
36,727,269680.0,149460.0,1046800.0
37,727,15761.0,38889.0,747.86
38,727,48691.0,56921.0,-198.76
38,728,48591.0,56430.0,-44.152
39,728,21438.0,23610.0,-1003.9
39,730,21397.0,23653.0,-921.92
40,730,24976.0,41673.0,-246.42
41,729,48911.0,56432.0,811.44
41,731,48763.0,56385.0,-202.22
42,732,33191.0,31276.0,32.82
43,730,35945.0,54419.0,-925.42
44,733,33150.0,31549.0,-1118.8
45,732,36947.0,29847.0,-1408.0
46,734,17807.0,28464.0,-718.96
46,735,17861.0,28347.0,-1076.6
46,737,17828.0,28312.0,-926.44
47,733,43009.0,49114.0,-494.73
47,734,43200.0,49068.0,-364.43
48,734,22602.0,42892.0,-1010.8
48,735,22617.0,42730.0,-1028.6
48,736,22618.0,42808.0,-938.69
48,738,22616.0,42812.0,-978.25
48,739,22571.0,42765.0,-927.9
48,740,22479.0,42735.0,-1141.4
48,741,22585.0,42680.0,-937.97
48,742,22460.0,42694.0,-810.5
49,734,48963.0,56262.0,577.77
49,736,48785.0,56282.0,-34.255
49,738,48895.0,56525.0,563.93
50,736,25008.0,22656.0,243.94
51,735,49293.0,53765.0,-366.75
52,738,32458.0,56895.0,-33.463
53,738,32781.0,49562.0,-200.11
53,739,32811.0,49597.0,-198.35
54,739,5216.8,6023.4,-150440.0
55,740,27321.0,40226.0,385.8
56,740,37620.0,10551.0,-156.47
56,742,37657.0,10418.0,-647.8
57,740,32970.0,31672.0,-1039.0
58,740,17828.0,28400.0,-814.51
59,741,105650.0,76537.0,282680.0
60,743,27257.0,40294.0,840.01
61,742,49492.0,33666.0,119740.0
62,745,22437.0,42628.0,-1052.3
62,747,22499.0,42631.0,-727.62
62,748,22393.0,42725.0,-922.54
62,750,22532.0,42793.0,-1059.1
63,743,17742.0,28199.0,-1158.5
64,743,32490.0,56555.0,7.5585
65,746,51843.0,50995.0,-596.44
66,746,39905.0,64026.0,-1140.8
66,747,40010.0,64015.0,-1291.0
67,747,41581.0,47170.0,271.93
68,747,44227.0,49740.0,-1074.1
69,748,40747.0,30702.0,76627.0
70,748,24549.0,21238.0,-691.31
71,748,41560.0,46789.0,-553.62
72,748,29429.0,37943.0,-1099.1
