#track,frame,x,y,z
1,1,24953.0,31370.0,-201.33
1,3,25080.0,31335.0,-379.23
2,1,41446.0,40358.0,74261.0
3,1,10966.0,-12283.0,-119170.0
4,1,40234.0,20213.0,-946.36
4,2,40152.0,20168.0,-600.61
4,3,40334.0,20260.0,-947.32
5,1,32095.0,24380.0,-1175.1
6,1,29458.0,33242.0,-8834.7
7,1,31207.0,23495.0,-349.37
8,1,24545.0,29518.0,5.6759
9,1,48041.0,28851.0,-36.103
9,2,47975.0,28886.0,-780.07
10,1,130540.0,88702.0,424930.0
11,223,40201.0,45245.0,-490.95
12,223,34289.0,42412.0,-976.09
12,225,34221.0,42441.0,-373.59
12,227,34242.0,42482.0,-562.83
12,228,34146.0,42505.0,-1031.3
12,229,34257.0,42506.0,-748.68
12,231,34279.0,42541.0,-364.95
12,233,34225.0,42461.0,-665.4
12,234,34262.0,42361.0,-947.23
13,224,26636.0,48731.0,821.11
14,225,20009.0,35905.0,-149.77
14,226,19946.0,35871.0,-467.89
14,228,19968.0,36115.0,130.26
15,1,47538.0,26248.0,812.09
15,2,47699.0,26274.0,834.51
16,225,23920.0,39020.0,209.57
16,226,23941.0,39363.0,-6.3088
17,226,40451.0,45386.0,-946.16
17,227,40641.0,45243.0,-1129.7
17,228,40555.0,45347.0,-1068.6
18,1,107270.0,60286.0,326940.0
19,226,46305.0,29705.0,-367.55
19,227,46034.0,29279.0,-655.1
20,1,30142.0,52618.0,-779.71
20,3,30281.0,52681.0,-916.29
20,5,30368.0,52626.0,-201.78
21,227,38557.0,23111.0,-3420.1
22,1,27192.0,48080.0,-1292.0
23,227,26652.0,31715.0,238.77
24,1,27585.0,49076.0,-271.42
25,228,45679.0,31042.0,1438.1
26,1,21437.0,42023.0,-629.81
27,228,41589.0,50361.0,-242.92
27,230,41501.0,50265.0,-809.85
27,231,41636.0,50518.0,-484.56
28,1,21576.0,37544.0,-1068.7
29,229,23946.0,39210.0,-19.738
29,230,23964.0,39038.0,104.59
30,1,31263.0,47528.0,644.3
31,229,39815.0,24290.0,347.76
32,1,328040.0,168040.0,1164400.0
33,229,62717.0,53738.0,86902.0
34,2,35802.0,20659.0,372.72
34,3,35621.0,20910.0,282.54
34,4,35556.0,20978.0,234.49
35,229,26924.0,37167.0,-1113.5
36,2,13521.0,30653.0,7099.3
37,230,39652.0,23704.0,-234.01
38,2,27043.0,37165.0,480.65
39,230,40750.0,30427.0,371.03
40,2,28006.0,29621.0,-1370.2
41,231,52743.0,22110.0,569.81
42,2,28568.0,35132.0,21979.0
43,231,50989.0,31397.0,-1097.4
43,232,51037.0,31363.0,-1281.7
43,233,51110.0,31380.0,-1060.1
43,234,50971.0,31372.0,-1007.5
44,2,39401.0,27890.0,-947.76
45,231,27026.0,48362.0,-793.89
45,232,27109.0,48223.0,-43.718
46,2,26650.0,29342.0,-22813.0
47,232,40365.0,45083.0,-925.26
48,2,151410.0,88292.0,522030.0
49,232,41422.0,50237.0,-1281.4
50,2,43835.0,37932.0,-843.83
51,233,40209.0,24614.0,-598.42
52,2,219540.0,127070.0,796270.0
53,233,29262.0,30875.0,-993.76
54,2,70497.0,44800.0,174190.0
55,233,36817.0,41921.0,-251.29
56,2,24738.0,41719.0,139.13
57,233,26497.0,25972.0,-66803.0
58,2,24247.0,49698.0,-1368.0
59,234,46194.0,41859.0,-1118.6
59,235,46087.0,41997.0,-1393.7
60,2,23810.0,48693.0,-949.19
60,4,23660.0,48644.0,-1117.1
60,5,23633.0,48603.0,-1215.6
60,6,23795.0,48543.0,-1322.0
60,7,23621.0,48639.0,-1102.9
60,8,23631.0,48623.0,-1113.5
60,9,23600.0,48591.0,-1253.1
60,10,23592.0,48609.0,-1241.5
60,11,23574.0,48603.0,-1293.8
61,234,43536.0,30049.0,-928.23
61,235,43510.0,30223.0,-1294.1
62,2,22029.0,35585.0,569.58
63,234,41525.0,45567.0,2375.2
64,2,21882.0,38023.0,-238.74
65,235,23857.0,38491.0,-431.58
65,237,24018.0,39130.0,-62.525
65,238,24092.0,39002.0,98.143
65,240,24005.0,38973.0,256.64
66,3,160390.0,83598.0,523090.0
67,235,46071.0,29549.0,-1365.8
68,3,47276.0,25915.0,-515.58
69,235,32380.0,37047.0,-45910.0
70,3,26624.0,27165.0,-555.13
71,235,27025.0,48250.0,-1031.1
71,236,26989.0,48304.0,-1040.2
71,238,27071.0,48181.0,-510.81
71,239,27003.0,48329.0,-895.08
71,240,27040.0,48209.0,-1001.8
71,241,27018.0,48199.0,-450.27
71,242,27065.0,48184.0,-708.78
71,243,27051.0,48244.0,-919.29
71,245,26932.0,48230.0,-1049.6
71,246,27093.0,48284.0,-491.91
72,3,-13029.0,-15105.0,-180430.0
73,235,40228.0,45253.0,-1125.6
73,236,40442.0,45359.0,-1505.1
74,3,31534.0,38746.0,34716.0
75,236,32515.0,24667.0,-1119.7
76,3,82262.0,62629.0,244600.0
77,236,36849.0,42167.0,-1370.5
78,4,6366.7,1662.4,-120130.0
79,236,41857.0,39938.0,-1090.6
79,237,41893.0,39957.0,-1125.8
80,4,22385.0,33015.0,-1450.0
80,5,22102.0,33004.0,-1179.1
80,6,22281.0,33070.0,-1477.8
80,7,22354.0,33115.0,-1371.6
81,236,41598.0,50443.0,-673.11
81,237,41442.0,50306.0,-816.03
81,239,41553.0,50231.0,-1298.8
82,4,31672.0,29642.0,58.173
83,236,39837.0,45366.0,-255.24
84,4,29898.0,37451.0,381.13
85,237,32734.0,31905.0,12095.0
86,4,138720.0,83058.0,469810.0
87,237,23863.0,6592.9,-46651.0
88,4,98926.0,56587.0,291090.0
89,237,36824.0,41923.0,-249.25
90,4,43426.0,33077.0,-21744.0
91,237,22434.0,42295.0,-257.94
92,4,88068.0,75934.0,257860.0
93,238,40578.0,31013.0,361.93
94,4,23788.0,43811.0,3478.5
95,238,34228.0,42467.0,-707.37
95,240,34166.0,42491.0,-692.73
95,241,34235.0,42483.0,-809.89
95,243,34297.0,42345.0,-800.54
95,244,34245.0,42458.0,-717.36
