#track,frame,x,y,z
1,96,270510.0,126600.0,1031200.0
2,97,208090.0,94302.0,777110.0
3,97,103370.0,55194.0,339550.0
4,98,164560.0,75333.0,593470.0
5,141,20653.0,17394.0,-815.8
6,143,48546.0,12157.0,-1370.1
6,144,48378.0,12133.0,-1281.5
6,145,48383.0,12111.0,-1347.5
7,142,22314.0,19914.0,-1131.4
8,143,13301.0,17288.0,-5278.8
9,143,52189.0,30338.0,142150.0
10,144,731.29,14509.0,-374.86
11,144,11991.0,11573.0,-1370.3
12,144,981.52,17663.0,82.412
13,145,17049.0,16378.0,-810.18
13,146,16981.0,16337.0,-765.29
13,147,17005.0,16375.0,-949.16
13,148,17018.0,16427.0,-920.05
13,149,17116.0,16559.0,-619.52
14,145,819.4,18893.0,280.82
15,146,12938.0,16778.0,-7097.7
16,147,19778.0,15116.0,-741.56
17,148,289700.0,129180.0,1115000.0
18,148,-4680.7,-8150.3,-97004.0
19,149,12257.0,11630.0,-552.63
20,149,12109.0,15539.0,-11766.0
21,149,72954.0,36939.0,219070.0
22,149,16638.0,15787.0,-1370.7
22,150,16699.0,16067.0,-1281.9
22,152,16415.0,15520.0,-482.45
23,150,50782.0,14811.0,31136.0
24,151,1699.9,45245.0,40.266
24,152,1764.3,45259.0,34.551
24,154,1683.6,45223.0,98.091
25,151,211720.0,95926.0,792080.0
26,151,9538.5,11766.0,-25206.0
27,151,16253.0,18628.0,-218.6
28,152,20424.0,16755.0,-448.2
29,152,929.59,18152.0,298.34
29,153,904.76,18179.0,328.64
29,154,1011.9,18072.0,251.85
30,153,1633.4,44671.0,-647.3
31,153,14688.0,19202.0,489.04
32,155,858.03,15388.0,232.67
33,157,20121.0,15497.0,-198.16
34,155,-5913.6,-14728.0,-109580.0
35,155,17259.0,17363.0,230.29
36,157,14523.0,19049.0,575.77
36,158,14525.0,18991.0,579.07
36,160,14578.0,18660.0,260.13
37,159,726.91,15442.0,400.69
38,157,16078.0,18654.0,-439.63
39,158,11988.0,15430.0,2.0755
39,159,11990.0,15485.0,-47.965
39,160,12006.0,15374.0,-182.22
40,161,20119.0,15406.0,-44.394
41,159,5475.2,-4260.6,-68141.0
42,160,975.65,18395.0,-201.0
43,160,16356.0,19395.0,-524.47
44,161,11838.0,14795.0,-919.79
45,161,17523.0,18437.0,-594.97
45,163,17549.0,18563.0,-2.5876
45,164,17521.0,18834.0,101.05
45,166,17600.0,18724.0,227.99
45,167,17565.0,18772.0,318.51
46,161,16039.0,18391.0,-373.85
47,162,81093.0,39549.0,238180.0
48,163,18449.0,16032.0,94.915
49,164,12013.0,15072.0,72.352
50,164,16568.0,19549.0,-1132.4
50,165,16382.0,19564.0,-948.22
50,167,16401.0,19078.0,-243.84
51,164,16221.0,18391.0,44.393
52,164,17577.0,18216.0,-1370.6
53,165,17812.0,19840.0,-507.64
54,166,13309.0,10298.0,297.26
55,167,40306.0,8258.7,-1372.7
56,167,11013.0,10600.0,-25990.0
57,167,4010.4,49776.0,106.67
58,167,20033.0,15506.0,73.936
59,168,70612.0,20565.0,120890.0
60,168,23026.0,16053.0,9558.6
61,169,15236.0,17655.0,626.57
61,170,15283.0,17505.0,354.37
62,170,19983.0,15536.0,81.018
62,171,19901.0,15459.0,190.84
63,171,795.55,16335.0,-245.51
64,171,17849.0,17820.0,486.24
65,172,13067.0,14883.0,-623.86
65,173,13246.0,14599.0,-266.65
66,174,24073.0,29543.0,-1370.6
66,175,24329.0,29590.0,-850.67
66,176,24083.0,29591.0,-1504.5
67,172,19878.0,14742.0,-916.27
67,173,19960.0,14700.0,-1120.2
68,174,70565.0,27097.0,38962.0
69,176,15804.0,30398.0,-315.59
70,176,17170.0,18575.0,309.37
71,178,793.55,18833.0,82.83
72,178,17644.0,14870.0,-1370.7
73,178,16074.0,18263.0,-44.753
73,179,15986.0,18694.0,-238.09
