#track,frame,x,y,z
1,515,19392.0,2552.6,101.82
2,66,14094.0,-1718.6,-6901.3
3,69,6022.7,5393.5,50.108
3,70,5963.9,5326.0,80.347
3,71,6010.9,5389.9,223.22
3,72,5922.5,5304.4,-34.186
3,73,5907.3,5350.6,4.5331
4,67,36297.0,7448.0,59023.0
5,42,9743.3,10105.0,-40.381
5,44,9814.4,10086.0,-17.65
6,44,18779.0,2457.1,-920.02
7,43,12155.0,2013.8,-1037.2
7,44,12203.0,2031.3,-720.82
7,45,12192.0,1885.3,-375.8
8,47,9862.5,9946.0,-296.98
8,48,10043.0,10241.0,-33.902
8,49,9982.6,10181.0,-201.73
8,50,9910.6,10307.0,-9.8445
8,51,10013.0,10329.0,146.87
9,2,6355.0,14419.0,710.0
9,4,6818.2,14782.0,-199.82
10,530,6553.7,13110.0,3.5102
11,3,7816.5,3151.7,-201.94
11,4,7814.7,3272.7,-171.43
11,5,7814.8,3115.7,-248.64
12,4,12480.0,2162.3,-364.91
12,5,12458.0,2291.9,-201.36
12,6,12287.0,1694.1,16.317
13,532,11398.0,4156.4,-1030.5
13,533,11363.0,4013.2,-928.35
13,534,11458.0,4015.9,-919.09
13,535,11572.0,3984.1,-916.48
13,536,11592.0,3958.0,-914.17
13,537,11469.0,3915.3,-598.1
13,538,11621.0,4195.5,-1109.6
13,540,11576.0,4092.3,-725.92
13,541,11713.0,4186.0,-949.11
14,6,6444.6,14399.0,839.81
15,536,6538.8,18621.0,-13.586
16,101,12589.0,3522.6,-1127.2
17,44,16180.0,4528.1,-600.05
18,103,5172.7,18505.0,-949.31
19,46,8756.9,1427.2,-1186.0
20,105,20960.0,4667.2,638.71
20,107,20644.0,4536.4,305.87
21,47,90341.0,38619.0,337690.0
22,106,20403.0,4858.5,-1083.5
23,47,16187.0,4629.2,-272.38
24,107,5274.8,3993.6,-471.59
25,50,47630.0,15908.0,139860.0
26,107,17876.0,11872.0,576.58
27,6,16561.0,2718.1,-1293.4
28,48,16341.0,2661.5,270.67
29,107,5726.4,4824.6,-810.69
30,48,12040.0,1923.1,278.36
31,107,159550.0,62677.0,587920.0
32,543,15507.0,6506.7,237.25
32,544,15556.0,6329.4,324.61
32,545,15516.0,6366.9,273.4
32,547,15465.0,6444.2,-12.463
32,548,15570.0,6499.0,469.49
33,7,5473.1,13323.0,-2897.7
34,49,12343.0,2070.1,-730.42
34,51,12367.0,1959.8,-660.88
35,109,12991.0,4568.9,-486.4
36,49,-9277.0,-31967.0,-124950.0
37,109,14627.0,8363.5,34153.0
38,51,13494.0,3169.0,16842.0
39,109,16710.0,3957.8,57.63
40,363,37361.0,12757.0,97008.0
41,51,21756.0,5583.1,-1018.1
42,70,9066.1,8215.4,-798.88
43,52,91681.0,35526.0,335320.0
44,72,18063.0,12768.0,104.11
44,73,18018.0,12675.0,127.69
45,540,-16499.0,-13174.0,-111670.0
46,51,-73.914,-9729.5,-59865.0
47,73,18780.0,4986.3,233.31
48,52,-12229.0,-31288.0,-117980.0
49,73,12844.0,3079.6,-199.78
50,52,13543.0,13987.0,-675.64
51,76,20146.0,9561.7,-712.99
52,52,21452.0,5012.4,227.17
52,54,21435.0,5141.0,322.03
52,56,21271.0,5017.4,49.781
52,57,21389.0,5091.3,277.58
52,58,21469.0,5042.5,375.51
52,60,21454.0,5032.2,475.68
53,74,9107.2,8238.6,-283.49
53,75,9196.4,8451.8,-371.58
53,76,9153.8,8174.4,-238.92
53,77,9232.5,8006.4,-134.5
53,78,9129.9,8146.0,-721.96
53,79,9150.4,8085.6,-458.39
53,80,9282.0,8222.2,-366.98
53,81,9331.2,8831.1,28.577
54,53,8926.7,1599.4,-1281.3
55,74,19714.0,2727.3,360.84
56,543,6470.7,18652.0,176.74
57,53,10807.0,8012.3,-699.02
57,54,11153.0,8363.3,-340.27
58,76,13185.0,2857.3,-983.48
59,53,-8712.2,-37091.0,-150510.0
60,79,19734.0,5033.3,-215.78
61,53,179920.0,72337.0,687920.0
62,81,7257.7,2133.9,-34.881
62,82,7230.0,2039.0,-67.936
62,83,7145.8,1957.8,-241.3
62,84,7158.9,2226.6,-571.59
62,85,7156.1,2198.4,-599.18
62,87,7284.2,2118.6,-747.27
62,88,7293.4,2038.7,-246.52
63,54,17345.0,715.17,-79.742
63,55,17137.0,876.86,-568.37
64,81,21171.0,6977.9,8.3887
65,54,9342.4,12728.0,651.35
66,82,9246.6,8116.6,-590.73
66,84,9379.3,8300.0,106.35
66,85,9231.7,8045.6,-199.99
67,546,15245.0,6770.9,-1171.4
68,55,7922.6,1329.0,645.65
69,83,19292.0,4268.0,-1330.2
70,56,20065.0,5973.9,43638.0
71,86,7779.1,2015.7,774.12
72,57,9237.4,12343.0,-1036.1
73,86,5443.3,4702.0,117.19
73,88,5578.2,4781.7,370.71
74,57,11064.0,8041.3,233.82
75,88,8530.3,8338.3,257.0
75,89,8578.4,8242.9,239.48
75,90,8560.1,8243.3,212.34
75,91,8676.3,8297.1,500.45
75,92,8673.5,8262.2,260.29
75,93,8726.8,8198.6,327.86
75,94,8609.0,8290.0,106.47
76,594,16641.0,1249.2,-44.447
76,595,16720.0,1220.3,24.014
76,596,16705.0,1277.7,-16.644
76,597,16600.0,1226.9,-64.69
76,598,16596.0,1253.2,-108.41
76,599,16848.0,1265.4,99.549
77,59,17613.0,1209.9,618.98
78,88,19323.0,4197.6,-1094.3
78,89,19327.0,4103.1,-1126.1
79,57,20542.0,1846.7,-36.876
79,58,20462.0,1821.4,-24.166
80,93,17248.0,2345.1,-198.99
81,61,16498.0,747.51,-1098.9
82,89,19712.0,8695.7,-41.211
83,60,8042.6,921.07,581.13
83,62,7892.1,1092.5,358.54
84,96,10215.0,23417.0,-1379.5
85,7,250480.0,105060.0,994650.0
86,62,16850.0,1029.3,-375.36
87,97,15824.0,5212.9,-1292.7
88,62,12718.0,8298.5,-470.59
88,64,12682.0,8514.0,-927.61
89,98,20719.0,4593.0,498.21
89,100,20781.0,4678.5,518.31
90,549,19464.0,2219.9,-220.36
90,550,19430.0,2315.9,-36.698
90,551,19384.0,1948.7,-420.75
90,552,19389.0,1967.8,-923.33
90,553,19130.0,2062.9,-973.58
91,65,9208.1,8074.6,-601.87
91,67,9068.9,8206.2,-238.64
91,68,9134.2,8223.3,-106.93
91,69,9164.4,8893.2,14.847
91,71,9062.5,8319.5,-237.97
92,98,4332.4,17655.0,-246.4
93,63,12311.0,1708.1,230.96
94,99,3941.8,17099.0,632.88
95,63,39503.0,9677.9,90967.0
96,100,5493.2,18212.0,-767.01
97,550,19512.0,3061.9,-41.298
98,187,210610.0,103890.0,843390.0
99,226,15098.0,3386.9,-1293.8
100,366,5167.0,19007.0,301.01
101,368,11945.0,6189.2,-1279.8
101,370,11831.0,6065.5,-1496.1
101,371,11863.0,6128.1,-1309.3
102,501,32923.0,14163.0,95181.0
103,501,11664.0,4695.0,-34.498
103,502,11696.0,4728.2,24.432
104,110,90315.0,39964.0,343370.0
105,373,13178.0,3577.4,-181.98
106,506,15676.0,6092.2,582.28
107,127,12690.0,8678.0,-1204.8
108,373,13003.0,2968.0,-949.85
109,503,11510.0,3903.0,-918.23
109,504,11543.0,4037.1,-1004.1
109,506,11428.0,4035.8,-933.35
109,507,11431.0,3998.8,-1016.2
110,130,20321.0,9175.4,-10.943
111,374,13065.0,2634.4,3.3744
112,507,10041.0,4984.0,2618.2
