#track,frame,x,y,z
1,1,381.43,7867.9,-65973.0
2,553,10953.0,33453.0,4169.1
3,1,17142.0,26684.0,-41.504
3,2,17346.0,26919.0,609.62
3,4,17180.0,27552.0,12.708
4,554,9377.4,32880.0,-1134.8
4,556,9473.4,32886.0,-1164.0
5,557,11744.0,32635.0,140.54
6,1,14626.0,31601.0,1.8495
7,558,17587.0,8729.9,-973.74
7,560,17855.0,8712.4,-681.65
7,561,17584.0,8755.5,-1028.6
7,562,17653.0,8612.5,-919.57
8,2,207.92,19358.0,-26491.0
9,559,7528.1,12488.0,-36065.0
10,2,16412.0,29860.0,823.22
10,3,16528.0,29929.0,793.18
10,4,16504.0,29934.0,756.98
11,4,12237.0,23501.0,-1183.7
11,6,12203.0,23561.0,-1096.2
11,8,12254.0,23528.0,-1290.8
11,9,12205.0,23529.0,-1088.6
11,11,12216.0,23525.0,-1120.1
11,12,12213.0,23447.0,-1017.1
11,13,12202.0,23454.0,-1057.5
11,14,12243.0,23457.0,-1120.5
11,15,12252.0,23515.0,-1288.6
11,16,12238.0,23500.0,-1125.5
11,18,12249.0,23534.0,-979.2
11,20,12253.0,23509.0,-1080.7
12,559,11000.0,25168.0,189.04
12,560,11031.0,25184.0,250.2
12,561,11055.0,25200.0,262.7
12,562,11101.0,25205.0,259.11
12,563,10950.0,25265.0,-0.4815
12,564,10935.0,25202.0,67.808
12,565,11014.0,25291.0,266.41
12,566,11097.0,25226.0,322.36
12,567,11098.0,25221.0,370.22
12,568,11104.0,25189.0,354.68
12,569,11046.0,25151.0,228.23
12,570,11041.0,25137.0,220.73
12,571,11044.0,25191.0,256.22
12,572,11015.0,25144.0,247.84
12,573,11109.0,25112.0,477.06
12,574,11109.0,25203.0,371.43
13,3,5786.4,25031.0,-1407.0
14,563,9017.5,25364.0,-24.029
15,5,274050.0,138040.0,1103000.0
16,566,17654.0,8746.4,-916.56
17,4,9354.5,24127.0,345.99
18,569,17690.0,8786.0,-856.36
19,4,10237.0,32553.0,-34.193
19,6,10064.0,33160.0,-41.446
19,7,10087.0,32787.0,-3.709
19,8,10055.0,32971.0,-2.4493
19,10,10406.0,32634.0,-369.9
20,572,17663.0,8747.5,-914.69
20,573,17743.0,8930.3,-935.8
20,574,17652.0,8809.3,-914.84
20,575,17616.0,8831.1,-792.0
20,577,17752.0,8783.0,-1076.6
20,578,17737.0,8808.0,-925.52
20,580,17689.0,8782.8,-949.0
20,581,17608.0,8695.3,-1041.0
20,582,17663.0,8815.0,-1010.1
20,584,17590.0,8788.3,-1125.2
21,5,6128.3,26638.0,-943.36
21,7,6108.6,26619.0,-810.79
21,8,6131.9,26648.0,-485.19
21,9,6127.2,26840.0,-684.18
21,10,6132.0,26747.0,-471.39
22,576,15724.0,22063.0,-237.99
23,5,10492.0,33036.0,-1203.5
24,577,16612.0,26812.0,-749.51
