#track,frame,x,y,z
1,2,25191.0,34108.0,921.46
2,553,22972.0,38465.0,345.96
3,5,34263.0,37454.0,-1289.8
3,6,34285.0,37415.0,-1370.0
3,8,34227.0,37356.0,-1281.5
3,9,34278.0,37358.0,-1370.1
3,10,34207.0,37408.0,-1126.0
4,581,24381.0,34292.0,-949.08
5,624,84042.0,46252.0,165270.0
6,7,25275.0,34080.0,17.606
6,9,25178.0,34084.0,293.81
7,644,42001.0,15240.0,-948.56
8,8,10286.0,1837.2,-55430.0
9,680,24614.0,33789.0,-1372.4
9,681,24596.0,33762.0,-1498.0
10,8,56633.0,46868.0,122380.0
11,681,32395.0,37884.0,-1067.5
12,11,20400.0,46392.0,640.34
13,684,24526.0,33795.0,-1287.6
14,12,25077.0,34423.0,-1312.8
15,687,24569.0,33773.0,-1471.1
16,13,34318.0,37348.0,-1370.1
17,687,18422.0,35678.0,-1281.9
17,688,18373.0,35623.0,-1281.3
17,690,18351.0,35636.0,-1294.0
17,691,18411.0,35654.0,-1277.2
17,692,18403.0,35606.0,-1281.2
17,693,18402.0,35564.0,-1229.7
17,694,18425.0,35619.0,-1286.8
17,695,18346.0,35632.0,-1125.4
17,696,18445.0,35614.0,-1129.7
17,697,18403.0,35540.0,-1342.5
17,698,18365.0,35609.0,-1281.8
17,699,18458.0,35597.0,-1366.0
18,16,20670.0,45770.0,161.35
18,17,20744.0,45692.0,13.138
18,18,20829.0,45779.0,552.48
18,20,20795.0,45762.0,342.05
18,21,20726.0,45949.0,491.65
19,688,21905.0,31391.0,303.38
20,19,34269.0,37260.0,-1125.2
21,691,24586.0,33767.0,-1310.6
22,21,-12417.0,-21101.0,-180330.0
23,692,22035.0,31311.0,377.48
24,22,-6.8828,18423.0,-98843.0
25,692,26668.0,34467.0,6311.9
26,23,34363.0,37300.0,-1370.1
26,25,34333.0,37282.0,-1195.7
26,27,34279.0,37267.0,-1136.5
27,693,21793.0,31293.0,-675.33
28,27,20797.0,45853.0,459.56
28,28,20801.0,45892.0,374.87
28,29,20729.0,45837.0,235.59
28,30,20768.0,45876.0,276.67
28,32,20796.0,45884.0,334.22
29,702,17723.0,33452.0,-1122.6
29,703,17743.0,33456.0,-1282.3
30,693,17828.0,33520.0,-1070.8
31,695,24619.0,33740.0,-1336.4
31,697,24465.0,33840.0,-1293.5
31,699,24610.0,33767.0,-1390.8
31,700,24615.0,33790.0,-1393.5
32,703,24653.0,33759.0,-1405.8
33,706,24551.0,33751.0,-1440.0
33,708,24586.0,33812.0,-1303.8
34,711,24548.0,33758.0,-1370.5
35,717,25058.0,34438.0,-1028.3
35,718,25121.0,34377.0,-1048.6
35,719,25114.0,34420.0,-1061.2
35,720,25145.0,34402.0,-986.51
35,721,25079.0,34404.0,-1007.7
35,722,25102.0,34405.0,-1030.0
35,723,25107.0,34378.0,-1068.8
35,724,25096.0,34443.0,-943.79
35,725,25112.0,34409.0,-971.68
35,726,25085.0,34382.0,-1019.3
35,727,25113.0,34436.0,-916.11
35,728,25120.0,34395.0,-962.63
35,729,25123.0,34400.0,-1000.1
35,730,25092.0,34449.0,-940.72
35,731,25136.0,34417.0,-972.74
35,732,25137.0,34490.0,-942.22
36,495,3496.6,46210.0,828.55
37,746,18897.0,35495.0,-67.004
37,747,18733.0,35185.0,-726.01
37,748,18745.0,35193.0,-356.33
37,749,18821.0,35264.0,-932.36
37,750,18877.0,35526.0,-369.0
38,780,277310.0,128650.0,963640.0
39,818,16671.0,59098.0,-570.98
40,820,16974.0,59405.0,549.32
40,822,16919.0,59500.0,627.38
40,824,16900.0,59480.0,465.52
41,829,16915.0,59498.0,632.31
41,830,16906.0,59510.0,629.87
41,831,16925.0,59486.0,395.41
41,833,16968.0,59479.0,624.41
42,832,13951.0,55403.0,-14025.0
43,843,16930.0,59592.0,925.46
44,844,16261.0,58549.0,-2611.4
45,845,15630.0,57732.0,-5602.1
46,848,15851.0,58218.0,-4019.9
47,851,16737.0,59354.0,106.83
48,852,15227.0,57180.0,-7718.2
49,855,16552.0,59534.0,-733.69
