#track,frame,x,y,z
1,16,32275.0,28653.0,-238.01
2,9,12214.0,45529.0,-1494.1
2,10,12384.0,45576.0,-1499.4
3,23,12247.0,45473.0,-1291.2
3,25,12600.0,45707.0,-1293.3
4,17,13042.0,45734.0,455.88
5,8,32050.0,29868.0,1637.8
6,26,62067.0,65681.0,198860.0
7,1,32276.0,28040.0,-466.91
7,3,32157.0,27938.0,372.16
8,27,49374.0,60434.0,147440.0
9,2,56460.0,41254.0,171790.0
10,12,40118.0,56617.0,110310.0
11,18,12507.0,45541.0,-1110.4
12,30,242250.0,126900.0,894850.0
13,29,17616.0,47477.0,17441.0
14,34,24487.0,35360.0,-918.83
15,47,65298.0,51734.0,165160.0
16,13,52402.0,61772.0,159150.0
17,54,29100.0,36822.0,18112.0
18,55,12724.0,19124.0,-55729.0
19,68,114760.0,72515.0,368290.0
20,69,11613.0,18394.0,-58937.0
21,70,60649.0,49727.0,145650.0
22,72,-9382.0,-10787.0,-164010.0
23,77,24289.0,35117.0,-1129.1
23,79,24340.0,35541.0,-187.64
24,4,-11760.0,11761.0,-119740.0
25,82,93586.0,63717.0,281790.0
26,83,39265.0,40792.0,57265.0
27,14,12077.0,45234.0,-928.13
27,15,12269.0,45369.0,-915.66
28,84,51467.0,45812.0,108690.0
29,123,99305.0,58151.0,271460.0
30,1,12392.0,45420.0,-1499.5
30,3,12022.0,45242.0,-965.51
31,191,23295.0,29688.0,-1126.4
32,209,27675.0,28458.0,-162.36
33,243,28681.0,29563.0,864.15
34,260,29188.0,29493.0,-923.7
35,293,31033.0,45958.0,666.11
36,4,30916.0,29602.0,-1417.8
36,6,30929.0,29619.0,-1466.2
37,305,16064.0,32138.0,245.2
38,325,27044.0,26638.0,-476.67
39,347,33039.0,37146.0,-948.12
40,543,52252.0,24986.0,487.93
40,545,52453.0,24981.0,548.98
41,546,29110.0,37801.0,57.093
42,546,52727.0,25370.0,-171.03
43,547,52663.0,24273.0,-573.05
43,548,52613.0,24391.0,-40.368
44,633,120390.0,78638.0,404530.0
45,693,29952.0,30120.0,-600.86
46,20,44803.0,58477.0,127650.0
47,778,40132.0,62034.0,6247.6
48,783,37728.0,61204.0,-1278.0
49,5,14988.0,46333.0,6829.9
50,879,18700.0,35251.0,449.29
51,911,24323.0,28482.0,-40.114
52,952,15564.0,29343.0,797.95
53,21,23533.0,49764.0,41510.0
54,955,27682.0,25905.0,-304.52
55,962,31408.0,30946.0,17.722
