#track,frame,x,y,z
1,1,36338.0,24968.0,166.61
1,2,35707.0,25417.0,247.31
1,4,36033.0,25087.0,358.47
1,6,35800.0,25633.0,396.51
2,1,22902.0,24200.0,482.17
2,2,22841.0,23999.0,566.6
3,1,36449.0,32779.0,-605.28
3,2,36410.0,32683.0,-371.87
3,3,36425.0,32908.0,-663.13
3,4,36395.0,32679.0,-368.11
3,5,36413.0,32717.0,-628.44
3,6,36415.0,32730.0,-436.4
3,8,36402.0,32694.0,-392.38
3,9,36475.0,32692.0,-493.31
3,10,36297.0,32656.0,-418.62
3,11,36356.0,32698.0,-509.72
3,12,36335.0,32741.0,-674.9
3,14,36405.0,32661.0,-538.11
3,16,36377.0,32770.0,-600.88
3,17,36419.0,32679.0,-508.77
3,18,36357.0,32675.0,-390.06
3,19,36384.0,32814.0,-690.17
3,20,36365.0,32765.0,-527.62
3,22,36377.0,32896.0,-712.97
3,23,36333.0,32732.0,-617.14
3,24,36392.0,32841.0,-726.42
3,26,36419.0,32653.0,-674.28
3,27,36485.0,32904.0,-945.15
4,1,27603.0,29572.0,-71429.0
5,1,20439.0,15826.0,-23539.0
6,1,84239.0,60119.0,257470.0
7,1,32227.0,38796.0,-484.69
8,1,21026.0,30742.0,248.53
9,2,8999.3,36308.0,-44.654
10,2,20936.0,25848.0,363.63
11,5,543.72,-19502.0,-152010.0
12,2,33574.0,42579.0,292.21
12,3,33461.0,42640.0,247.18
13,2,21854.0,22101.0,-9753.8
14,2,25928.0,22529.0,354.52
15,2,33718.0,28295.0,-780.69
16,2,-4195.0,-22623.0,-161610.0
17,2,32451.0,26057.0,-36.678
18,2,42031.0,43402.0,73783.0
19,5,30161.0,22775.0,433.08
19,6,30180.0,22675.0,217.96
19,8,30461.0,22186.0,55.989
19,9,30557.0,22216.0,370.0
19,10,30426.0,22561.0,127.72
19,12,30577.0,21985.0,259.06
19,13,30566.0,22187.0,168.18
19,14,30435.0,22125.0,241.46
19,16,30411.0,22283.0,295.45
20,2,20573.0,34261.0,-1453.0
20,3,20435.0,34270.0,-1293.8
20,4,20502.0,34201.0,-1293.8
20,5,20603.0,34149.0,-1007.8
21,2,18910.0,32643.0,-0.33741
21,3,18788.0,32665.0,-475.41
