frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,2,56067,33408,527.71,NaN,NaN,NaN,1579.2,96.002
1,3,55372,38711,-17.073,NaN,NaN,NaN,2964.6,89.326
2,5,42373,52473,1500,NaN,NaN,NaN,2455.7,71.833
2,6,55288,25252,549.98,NaN,NaN,NaN,1813.5,82.033
3,2,18127,32440,-394.7,NaN,NaN,NaN,2858.9,79.728
3,3,51256,22788,-912.31,NaN,NaN,NaN,2566.4,80.285
3,4,20527,55796,1056.1,NaN,NaN,NaN,1950.5,51.466
3,5,42432,52774,1062.7,NaN,NaN,NaN,2606.2,70.451
3,6,55294,25200,516.73,NaN,NaN,NaN,1807.5,77.848
4,1,54613,30051,263.08,NaN,NaN,NaN,642.79,79.868
4,3,55410,25213,202.06,NaN,NaN,NaN,1816.5,75.181
4,4,55488,38770,-136.51,NaN,NaN,NaN,2897,77.256
5,1,42372,52572,1228.4,NaN,NaN,NaN,1885.4,66.421
5,2,50970,23022,640.05,NaN,NaN,NaN,2346.6,75.692
5,3,18130,32400,-200.46,NaN,NaN,NaN,2777.3,73.537
6,1,18100,32346,-423.2,NaN,NaN,NaN,2642.4,71.62
6,3,50888,23070,298.67,NaN,NaN,NaN,2238.1,74.226
6,4,42469,52497,1283.7,NaN,NaN,NaN,1627.8,64.927
6,5,61171,35134,550.6,NaN,NaN,NaN,1500.1,70.329
7,4,42337,52489,1365,NaN,NaN,NaN,1866.5,63.156
7,6,51001,23150,606.8,NaN,NaN,NaN,2247.4,70.557
8,1,50979,23083,686.1,NaN,NaN,NaN,2502.7,68.75
8,6,57335,28368,679.31,NaN,NaN,NaN,1142.6,67.909
9,1,18032,32382,-730.63,NaN,NaN,NaN,2982,66.818
9,2,50923,22884,1047.9,NaN,NaN,NaN,2795,67.619
9,3,54416,30025,30.472,NaN,NaN,NaN,501.68,69.72
10,1,42299,52435,1513.8,NaN,NaN,NaN,1646,61.217
10,2,18074,32311,-474.31,NaN,NaN,NaN,2848.7,63.321
10,4,51328,22754,-1093.3,NaN,NaN,NaN,2151.4,68.236
10,5,33704,40978,-590.31,NaN,NaN,NaN,2325.1,72.857
10,6,52898,29631,-60955,NaN,NaN,NaN,1889.9,68.316
11,1,18067,32438,-411.78,NaN,NaN,NaN,2518.6,63.281
13,3,57360,28338,999.87,NaN,NaN,NaN,779.91,64.894
15,4,40211,55813,1015.7,NaN,NaN,NaN,3439,50.541
16,1,40269,55855,753.56,NaN,NaN,NaN,3359.9,50.429
16,2,57415,28395,672.25,NaN,NaN,NaN,1030.3,57.493
16,3,60784,34113,959.62,NaN,NaN,NaN,627.59,59.701
16,5,54520,30049,184.93,NaN,NaN,NaN,493.31,60.752
17,3,57359,28462,573.22,NaN,NaN,NaN,844.72,56.614
17,4,48305,19479,773.96,NaN,NaN,NaN,259.17,59.843
18,2,57271,28459,607.72,NaN,NaN,NaN,595.03,57.873
18,3,42307,52460,1442.2,NaN,NaN,NaN,1419.5,54.118
18,4,23628,31453,-279.84,NaN,NaN,NaN,1347.7,62.265
19,1,40185,55918,686.63,NaN,NaN,NaN,3217.1,47.689
19,2,42401,52368,1445.5,NaN,NaN,NaN,1405.6,53.295
19,4,57243,28490,674.99,NaN,NaN,NaN,362.65,57.844
19,6,52272,20559,-45.542,NaN,NaN,NaN,2199.1,57.742
20,1,33692,41036,-632.77,NaN,NaN,NaN,1948.4,63.453
20,2,53214,18456,1059.6,NaN,NaN,NaN,1902.5,57.033
20,4,57213,28367,627.03,NaN,NaN,NaN,615.37,55.458
21,1,32444,40440,-231.81,NaN,NaN,NaN,1892.9,61.916
21,2,53113,18656,948.69,NaN,NaN,NaN,1682.8,56.029
21,4,48898,-5286.4,-2.2619e+05,NaN,NaN,NaN,1433.7,48.417
22,1,40225,55733,1120.4,NaN,NaN,NaN,3044,47.385
22,2,33679,41020,-694.09,NaN,NaN,NaN,1645.2,61.688
22,4,57209,28429,537.18,NaN,NaN,NaN,543.54,54.355
22,5,48266,19620,419.74,NaN,NaN,NaN,307.61,56.918
22,6,42452,52453,1507.6,NaN,NaN,NaN,1149.2,51.692
22,7,42724,37505,441.72,NaN,NaN,NaN,2111.9,58.596
23,1,32561,40474,-290.97,NaN,NaN,NaN,2046.1,60.353
23,3,48236,19542,504.07,NaN,NaN,NaN,314.02,55.147
24,3,57317,28526,567.08,NaN,NaN,NaN,427.21,53.047
24,4,42367,36935,684.46,NaN,NaN,NaN,2309,57.863
25,1,57162,28515,66.496,NaN,NaN,NaN,586.76,51.737
25,2,40299,55860,1020.4,NaN,NaN,NaN,3538.5,46.112
26,1,37160,53223,1416.6,NaN,NaN,NaN,2567.5,49.994
26,2,40257,55834,1012.1,NaN,NaN,NaN,3550,45.356
27,2,40319,55846,551.77,NaN,NaN,NaN,3456.8,45.37
27,4,37163,53325,1221.2,NaN,NaN,NaN,2790.9,49.476
27,5,33107,47907,-234.87,NaN,NaN,NaN,1535.7,54.356
27,6,48311,19542,773.7,NaN,NaN,NaN,317.3,50.047
27,7,57331,28470,466.32,NaN,NaN,NaN,626.97,48.251
28,1,40241,55769,1168.4,NaN,NaN,NaN,3435.9,46.026
28,2,37092,53209,1421.1,NaN,NaN,NaN,2784.7,49.589
28,3,57275,28448,621.74,NaN,NaN,NaN,506.52,48.231
28,5,48043,19599,98.95,NaN,NaN,NaN,502.58,49.811
28,6,57692,20538,2046.1,NaN,NaN,NaN,1354.5,43.502
29,2,42333,52577,1241.7,NaN,NaN,NaN,1249.2,48.823
29,3,37253,53281,1275.5,NaN,NaN,NaN,2699.8,48.735
30,1,37083,53335,1090.8,NaN,NaN,NaN,2686.7,48.543
30,3,57354,28542,576.39,NaN,NaN,NaN,473.01,47.633
30,4,40268,55941,716.22,NaN,NaN,NaN,3398.1,44.196
31,2,37007,53138,1460,NaN,NaN,NaN,2335.2,47.79
31,3,48174,19596,517.75,NaN,NaN,NaN,342.3,50.787
31,6,57298,28497,640.89,NaN,NaN,NaN,655.77,47.346
31,7,34273,40581,1389.2,NaN,NaN,NaN,1101,55.739
32,1,48204,19550,669.12,NaN,NaN,NaN,520.4,50.475
32,2,40311,55859,1015.5,NaN,NaN,NaN,3053.3,43.025
32,4,57641,20685,1597.7,NaN,NaN,NaN,1367.4,44.158
33,1,37044,53167,1393.7,NaN,NaN,NaN,2378.9,46.79
33,2,40282,55835,1034.3,NaN,NaN,NaN,2932,43.047
34,1,48221,19520,620.19,NaN,NaN,NaN,567.99,45.888
34,2,40112,56009,57.099,NaN,NaN,NaN,2920.8,43.943
34,3,33547,40112,617.29,NaN,NaN,NaN,1310.4,55.049
34,5,33065,47729,-258.87,NaN,NaN,NaN,1757.9,50.542
35,1,37093,53361,1038.1,NaN,NaN,NaN,2313.4,46.555
35,2,40256,55943,1246.2,NaN,NaN,NaN,2958.8,42.57
36,2,32838,40764,2080.5,NaN,NaN,NaN,1461.2,52.972
36,3,37147,53301,1241.3,NaN,NaN,NaN,2444.1,46.233
36,6,48241,19562,879.42,NaN,NaN,NaN,567.61,44.91
37,1,40245,55735,1417.3,NaN,NaN,NaN,3096.3,42.518
37,2,32556,40744,-711.81,NaN,NaN,NaN,1685.9,53.086
37,3,48227,19525,621.43,NaN,NaN,NaN,540.23,44.541
37,4,37133,53283,1221.3,NaN,NaN,NaN,2081.3,46.145
38,1,40225,55731,1252.1,NaN,NaN,NaN,3242.5,43.837
39,1,48272,19590,676.02,NaN,NaN,NaN,580.38,43.399
39,3,40163,55889,324.67,NaN,NaN,NaN,3173.2,42.511
39,5,40639,56107,-210.01,NaN,NaN,NaN,2335.6,41.539
40,1,40278,55953,1160.4,NaN,NaN,NaN,3155,43.565
40,2,37121,53178,1397,NaN,NaN,NaN,2544.1,46.924
40,5,48260,19568,771.92,NaN,NaN,NaN,570.81,43.165
41,1,40379,55862,894.6,NaN,NaN,NaN,3227.3,43.022
41,4,48260,19433,1002.4,NaN,NaN,NaN,574.8,42.968
41,5,37162,53197,1223.7,NaN,NaN,NaN,2382.1,46.028
42,1,37160,53211,1426.9,NaN,NaN,NaN,2447.8,44.891
42,2,48261,19417,1064.9,NaN,NaN,NaN,567.35,44.603
42,3,40459,55986,671.58,NaN,NaN,NaN,2655.3,41.026
42,5,57700,20439,2038.6,NaN,NaN,NaN,1581,39.946
42,6,24384,35880,-569.41,NaN,NaN,NaN,1599.8,47.961
43,1,48292,19503,727.95,NaN,NaN,NaN,468.03,45.53
43,2,37119,53171,1360.5,NaN,NaN,NaN,2481.1,43.7
43,5,40236,55888,333.51,NaN,NaN,NaN,2884.8,39.835
43,6,28780,42447,219.05,NaN,NaN,NaN,780.21,45.353
44,1,40290,55714,979.72,NaN,NaN,NaN,2695.5,40.136
44,2,37151,53216,1245.1,NaN,NaN,NaN,2514.2,42.958
45,1,37079,53211,1177.1,NaN,NaN,NaN,2445,42.505
45,2,48236,12957,1245.2,NaN,NaN,NaN,2344.1,39.755
45,4,40290,55579,925.43,NaN,NaN,NaN,2843.2,39.969
46,1,37073,53241,1221.3,NaN,NaN,NaN,2528.9,43.114
46,2,40328,55748,1188.6,NaN,NaN,NaN,2483.3,40.25
46,3,48373,12993,64.181,NaN,NaN,NaN,2175.7,40.252
47,1,40274,55805,1018.1,NaN,NaN,NaN,2499,39.669
