frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
3,1,20509,29749,-219.85,NaN,NaN,NaN,996.83,36.946
3,2,47545,30995,-201.12,NaN,NaN,NaN,755.69,39.886
4,2,47451,31019,-39.599,NaN,NaN,NaN,899.03,37.468
6,1,47557,31050,-272.28,NaN,NaN,NaN,837.67,34.14
9,1,24504,64063,-324.27,NaN,NaN,NaN,3712.5,28.381
12,1,34286,49547,553.33,NaN,NaN,NaN,1021.5,31.442
24,1,20233,32823,-40.613,NaN,NaN,NaN,786.42,28.745
31,1,5843.7,30654,327.47,NaN,NaN,NaN,797.59,26.824
33,1,27468,30509,675.53,NaN,NaN,NaN,923.93,30.57
35,1,23644,63556,2081.9,NaN,NaN,NaN,2276,23.806
40,1,22665,34499,1251.7,NaN,NaN,NaN,1138.9,27.021
41,1,22679,34455,1438.8,NaN,NaN,NaN,1173.5,27.397
44,1,22621,34441,1776.2,NaN,NaN,NaN,1041,26.97
45,1,22663,34465,1442.7,NaN,NaN,NaN,1148.4,27.135
46,1,22629,34481,1369.7,NaN,NaN,NaN,1181.8,27.134
48,4,22694,34489,1466,NaN,NaN,NaN,1390.9,26.736
50,1,42560,29783,1529.2,NaN,NaN,NaN,741.09,28.164
53,1,31096,34900,-226.13,NaN,NaN,NaN,822.15,27.065
55,1,48776,27553,-26842,NaN,NaN,NaN,1190.7,27.936
56,1,49525,32024,1359.3,NaN,NaN,NaN,1416.1,28.406
57,1,49352,29736,-9455.7,NaN,NaN,NaN,1520.2,28.481
58,1,49505,31909,1673.3,NaN,NaN,NaN,1599.5,28.429
59,1,49518,31858,1692.7,NaN,NaN,NaN,1553.3,27.586
59,2,39971,28336,-725.11,NaN,NaN,NaN,832.81,27.226
60,1,49559,32013,1367.9,NaN,NaN,NaN,1434.4,27.421
60,2,40147,28162,-230.14,NaN,NaN,NaN,808.48,27.46
61,1,49530,31961,1676.3,NaN,NaN,NaN,1096.6,27.582
62,1,49578,31730,2054.5,NaN,NaN,NaN,1234,27.81
64,1,49551,32018,1123.6,NaN,NaN,NaN,1227.6,26.891
65,1,49494,31959,1170.6,NaN,NaN,NaN,1331.4,27.117
65,2,22475,34386,1221.4,NaN,NaN,NaN,824.89,26.008
66,1,49546,31899,1751.5,NaN,NaN,NaN,1356.8,27.15
67,1,49538,31777,2097.2,NaN,NaN,NaN,1222,27.369
67,2,33231,35891,1763.1,NaN,NaN,NaN,758.54,26.826
68,1,10274,16288,1001.6,NaN,NaN,NaN,539.48,24.044
68,2,49429,31876,2059.4,NaN,NaN,NaN,933.64,26.819
70,1,10316,16350,1004.9,NaN,NaN,NaN,428.33,23.949
74,1,26370,36183,-20144,NaN,NaN,NaN,770.76,26.014
74,2,44392,19226,682.58,NaN,NaN,NaN,425.25,26.385
80,1,19180,14704,631.83,NaN,NaN,NaN,540.32,24.536
81,1,19308,14699,607.7,NaN,NaN,NaN,571.03,23.872
82,1,19244,14610,717.57,NaN,NaN,NaN,552.74,23.635
83,1,19297,14634,683.2,NaN,NaN,NaN,594.19,23.917
84,1,19081,14564,620.45,NaN,NaN,NaN,620.8,23.595
85,1,19002,14796,124.67,NaN,NaN,NaN,397.85,23.34
87,1,19119,14589,1251.9,NaN,NaN,NaN,486.38,23.42
89,2,19160,14519,907.87,NaN,NaN,NaN,623.33,22.969
90,1,19198,14494,961.54,NaN,NaN,NaN,675.37,23.295
90,2,18217,23617,1560.4,NaN,NaN,NaN,669.69,24.468
91,1,19143,14544,645.21,NaN,NaN,NaN,570.68,22.775
92,1,19153,14525,679.08,NaN,NaN,NaN,463.27,23.178
95,1,24815,48416,1282.2,NaN,NaN,NaN,743.07,24.577
95,2,31887,35053,37.448,NaN,NaN,NaN,885.71,25.997
95,3,19201,14671,1003.4,NaN,NaN,NaN,330.53,23.705
96,1,11094,16391,183.04,NaN,NaN,NaN,516.85,23.807
97,1,11055,16462,-40.512,NaN,NaN,NaN,510.13,23.961
110,1,19340,29140,645.11,NaN,NaN,NaN,666.48,23.547
111,2,19298,29094,467.75,NaN,NaN,NaN,600.88,23.883
113,1,19257,29194,529.46,NaN,NaN,NaN,607.75,23.859
114,2,19235,29293,-33.996,NaN,NaN,NaN,591.61,23.841
