frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,1,30275,23789,63.856,NaN,NaN,NaN,689.53,71.262
2,1,30506,23615,999.51,NaN,NaN,NaN,584.49,65.358
2,3,28915,49047,-40.676,NaN,NaN,NaN,4456.7,76.783
3,1,30454,23557,1010,NaN,NaN,NaN,805.09,61.707
3,2,19828,49705,322.84,NaN,NaN,NaN,1702,42.853
3,3,49653,47319,-927.56,NaN,NaN,NaN,5448,76.771
4,1,19755,49768,173,NaN,NaN,NaN,1783.5,41.246
4,2,30475,23438,1174.9,NaN,NaN,NaN,391.87,58.115
5,1,38317,38106,1084.3,NaN,NaN,NaN,1774.9,102.8
5,3,15170,47718,672.68,NaN,NaN,NaN,1552.3,35.14
6,1,38523,38512,1336.4,NaN,NaN,NaN,1805.9,96.593
7,2,14751,56760,-301.02,NaN,NaN,NaN,1626.5,26.497
8,1,42280,36667,1782.2,NaN,NaN,NaN,1336.3,82.856
10,1,42190,36664,1557.7,NaN,NaN,NaN,1597.9,75.416
21,1,15353,41646,1221.3,NaN,NaN,NaN,949.24,29.746
23,1,26895,30942,1250.2,NaN,NaN,NaN,500.76,42.861
24,1,19103,49390,1470.8,NaN,NaN,NaN,1356.3,28.885
24,2,26666,31149,647.25,NaN,NaN,NaN,734.86,43.211
25,1,26782,31042,1049.5,NaN,NaN,NaN,1042,41.115
25,2,19135,49270,1324,NaN,NaN,NaN,1111.3,28.278
26,2,17571,46362,-662.25,NaN,NaN,NaN,833.77,27.839
27,1,26707,30965,1359.1,NaN,NaN,NaN,1074.7,39.658
27,2,17695,46509,-933.39,NaN,NaN,NaN,836.29,27.906
28,1,26794,30869,1478.4,NaN,NaN,NaN,910.05,39.288
28,2,17692,46514,-730.56,NaN,NaN,NaN,879.5,27.738
29,1,26692,30849,1560.7,NaN,NaN,NaN,1071.1,38.879
29,2,37041,39879,177.22,NaN,NaN,NaN,1231.8,51.217
30,1,26323,30643,32.954,NaN,NaN,NaN,1282.8,37.835
31,1,26650,30961,1365.5,NaN,NaN,NaN,1041.3,36.903
32,1,26650,30978,1221.2,NaN,NaN,NaN,1058.9,36.281
33,1,26641,30946,1367.3,NaN,NaN,NaN,921.28,36.648
36,1,15723,44707,-283.89,NaN,NaN,NaN,686.94,25.159
38,3,15611,44788,-467.66,NaN,NaN,NaN,681.66,25.617
39,1,15754,44782,-465.57,NaN,NaN,NaN,1041.7,25.351
39,2,26682,30899,390.21,NaN,NaN,NaN,459.64,35.68
40,1,26782,31050,678.3,NaN,NaN,NaN,355.77,35.587
40,2,15622,44888,-613.48,NaN,NaN,NaN,891.76,25.435
41,1,15480,45024,-39.188,NaN,NaN,NaN,713.99,25.015
43,1,45376,41747,328.07,NaN,NaN,NaN,1078.3,41.089
44,1,45222,41825,678.92,NaN,NaN,NaN,1090.9,40.374
44,2,40581,35640,-226.02,NaN,NaN,NaN,1334.9,44.32
45,1,45296,41737,353.72,NaN,NaN,NaN,1033.4,39.516
47,2,34324,23770,1246.5,NaN,NaN,NaN,670.75,31.529
47,4,45319,41885,51.328,NaN,NaN,NaN,1152.3,40.105
48,1,45371,41827,452.38,NaN,NaN,NaN,1035.8,39.717
48,3,34190,23880,983.81,NaN,NaN,NaN,578.69,31.018
50,1,34142,23688,1248.5,NaN,NaN,NaN,493.48,30.039
52,1,45214,41922,-40.688,NaN,NaN,NaN,1302.4,38.823
54,1,45325,41791,607.01,NaN,NaN,NaN,1295.3,39.123
55,2,17608,49184,481.88,NaN,NaN,NaN,951.96,23.934
55,3,35936,50592,1366.1,NaN,NaN,NaN,1116.7,32.127
56,2,35991,50588,1515.8,NaN,NaN,NaN,1402.9,32.325
