frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
2,1,34346,38620,1178.5,NaN,NaN,NaN,3657.8,59.867
4,1,25684,32288,673.19,NaN,NaN,NaN,1221.2,51.154
5,1,13173,16265,588.04,NaN,NaN,NaN,1092,41.218
11,1,21958,29994,630.77,NaN,NaN,NaN,893.47,39.156
13,1,22035,30090,617.48,NaN,NaN,NaN,796.14,37.167
15,1,22039,30051,636.6,NaN,NaN,NaN,1100.2,36.159
16,1,22050,30052,433.92,NaN,NaN,NaN,979.47,35.727
28,1,17021,16443,-218.08,NaN,NaN,NaN,471.61,29.787
45,1,40787,30517,1233.5,NaN,NaN,NaN,863.45,31.112
45,2,40935,24907,668.68,NaN,NaN,NaN,563.18,31.288
48,1,40988,24803,1156.1,NaN,NaN,NaN,545.58,30.673
53,1,46876,19691,-37.458,NaN,NaN,NaN,774.92,30.211
54,1,34712,37772,1529.2,NaN,NaN,NaN,836.48,28.171
56,1,36883,32611,-281.5,NaN,NaN,NaN,1103.7,29.306
57,1,36920,32569,677.09,NaN,NaN,NaN,813.67,28.304
66,1,20974,53599,1744.6,NaN,NaN,NaN,876.9,23.773
67,1,20939,53651,1901.2,NaN,NaN,NaN,712.24,23.964
70,1,20937,53546,2062,NaN,NaN,NaN,902.98,23.082
71,1,21026,53780,1443,NaN,NaN,NaN,814.23,22.873
73,1,20961,53645,2158.9,NaN,NaN,NaN,967.66,22.249
74,1,21014,53730,2070.9,NaN,NaN,NaN,930.62,22.834
75,1,20992,53752,1587.5,NaN,NaN,NaN,887.91,23.012
76,1,20943,53649,2137.6,NaN,NaN,NaN,920.91,22.67
77,1,20997,53641,1624.4,NaN,NaN,NaN,690.46,23.313
79,1,20905,53750,1611.1,NaN,NaN,NaN,894.87,23.103
80,1,14768,20600,-593.06,NaN,NaN,NaN,593.61,25.779
82,1,14555,16695,-118.77,NaN,NaN,NaN,752.41,26.054
86,1,16211,14738,30.761,NaN,NaN,NaN,586.37,24.665
97,1,15573,50738,512.23,NaN,NaN,NaN,988.62,23.267
