frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
1,3,31131,31074,1133.5,NaN,NaN,NaN,2807.6,63.427
2,1,16539,50012,170.62,NaN,NaN,NaN,2935.9,50.156
3,1,16563,49958,523.64,NaN,NaN,NaN,2941.7,47.69
4,2,17808,47714,558.58,NaN,NaN,NaN,1518.1,49.691
4,3,16419,50098,-550.47,NaN,NaN,NaN,2110.9,46.321
4,5,5640,48472,862.85,NaN,NaN,NaN,1012.3,40.267
5,1,18735,36017,744.5,NaN,NaN,NaN,537.67,46.653
5,4,17925,47754,635.06,NaN,NaN,NaN,1528.9,49.619
5,5,29778,36589,219.66,NaN,NaN,NaN,2270.8,49.709
5,6,44110,17236,390.71,NaN,NaN,NaN,617,43.043
5,7,31598,31610,1511,NaN,NaN,NaN,1927.7,53.207
5,8,31214,36675,1221.6,NaN,NaN,NaN,2061.9,50.033
6,3,17093,53887,539.08,NaN,NaN,NaN,2026.6,41.737
6,4,18646,36062,512.39,NaN,NaN,NaN,613.5,45.625
7,1,13006,37210,-97.873,NaN,NaN,NaN,602.4,43.054
7,3,20104,53734,-49.57,NaN,NaN,NaN,1704.6,41.618
7,4,18705,36011,582.41,NaN,NaN,NaN,922.85,44.467
7,5,16944,53887,-523.92,NaN,NaN,NaN,1558.7,41.336
8,1,16413,49960,-290.99,NaN,NaN,NaN,1847.8,44.005
8,2,18647,35957,553.29,NaN,NaN,NaN,799.05,43.277
9,1,13007,37107,170.21,NaN,NaN,NaN,637.61,39.765
9,3,17101,49565,1764.3,NaN,NaN,NaN,1381.5,42.194
9,4,18623,36034,178.52,NaN,NaN,NaN,698.23,41.105
10,1,13197,37186,270.32,NaN,NaN,NaN,408.57,39.287
10,2,18545,35977,598.98,NaN,NaN,NaN,612.22,40.269
11,1,16592,49996,31.456,NaN,NaN,NaN,1670.8,40.317
12,1,16564,49952,-207.77,NaN,NaN,NaN,2041.2,40.399
12,2,25660,31692,468.75,NaN,NaN,NaN,1517.4,41.513
13,1,16522,49998,36.906,NaN,NaN,NaN,1668.2,40.703
13,2,34406,38933,1253.2,NaN,NaN,NaN,919.66,44.187
13,3,13150,37115,465.56,NaN,NaN,NaN,489.67,38.663
14,3,34478,39074,959.94,NaN,NaN,NaN,1062.5,43.59
14,4,13196,37186,554.75,NaN,NaN,NaN,535.35,37.825
15,1,34396,39009,758.73,NaN,NaN,NaN,1095.8,42.285
15,2,13173,37167,15.805,NaN,NaN,NaN,855.95,37.507
16,1,13233,37191,642.78,NaN,NaN,NaN,436.19,37.175
20,1,17021,51427,552.2,NaN,NaN,NaN,1277.7,37.367
20,2,14233,53445,-752.25,NaN,NaN,NaN,1245.4,35.37
21,1,14246,53388,-559.29,NaN,NaN,NaN,1320.7,35.11
21,2,41390,51478,567.3,NaN,NaN,NaN,735.73,37.131
21,3,23088,37592,1249.9,NaN,NaN,NaN,946.43,39.352
22,1,14185,53441,-301.96,NaN,NaN,NaN,1573.8,35.448
22,3,41317,51464,548.86,NaN,NaN,NaN,763.33,37.678
22,4,16778,51512,553.98,NaN,NaN,NaN,1387.7,37.003
23,1,18195,33621,444.36,NaN,NaN,NaN,761.14,35.379
23,2,13965,53479,-914.5,NaN,NaN,NaN,1310.8,34.966
23,3,43268,51451,-224.88,NaN,NaN,NaN,708.8,36.709
24,1,18245,33551,686.65,NaN,NaN,NaN,767.19,35.107
24,2,14150,53451,-847.13,NaN,NaN,NaN,1434.5,34.727
25,1,13980,53660,377.64,NaN,NaN,NaN,1964.6,34.85
25,2,18220,33617,618.26,NaN,NaN,NaN,670.19,35.242
26,1,13713,53726,555.06,NaN,NaN,NaN,1225.5,34.681
26,2,18277,33575,574.23,NaN,NaN,NaN,553.47,34.681
29,1,27380,16823,-11205,NaN,NaN,NaN,705.65,34.736
29,2,6416.2,49582,552.97,NaN,NaN,NaN,951.38,35.491
31,2,12122,46384,-275.53,NaN,NaN,NaN,860.95,36.417
32,2,12159,46445,-279.86,NaN,NaN,NaN,933.61,34.862
33,1,12201,46308,-39.303,NaN,NaN,NaN,1008.5,34.821
33,2,24238,23624,1024.5,NaN,NaN,NaN,725.52,33.488
34,1,12192,46369,-242.48,NaN,NaN,NaN,865.74,34.482
34,2,24253,23629,1077.4,NaN,NaN,NaN,735.88,33.741
34,3,17618,35740,605.67,NaN,NaN,NaN,290.96,33.633
34,5,31358,31012,673.07,NaN,NaN,NaN,1104.1,36.751
35,1,24232,23562,1243.4,NaN,NaN,NaN,866.5,33.745
35,3,12103,46304,-228.81,NaN,NaN,NaN,696.9,33.703
35,4,31299,31140,310.64,NaN,NaN,NaN,1009.5,36.149
35,5,17677,35839,530.76,NaN,NaN,NaN,338.19,32.952
36,2,24213,23564,1161,NaN,NaN,NaN,847.91,34.682
36,3,12215,46463,-510.76,NaN,NaN,NaN,907.64,33.667
36,5,31114,31006,596.62,NaN,NaN,NaN,1249.8,36.93
36,6,17687,35911,21.408,NaN,NaN,NaN,579.91,31.951
37,1,24330,23606,999.19,NaN,NaN,NaN,765.24,33.827
37,3,31213,31094,666.71,NaN,NaN,NaN,1323.6,35.841
37,4,17625,35826,-40.93,NaN,NaN,NaN,471.34,33.013
38,1,24172,23709,387.69,NaN,NaN,NaN,863.23,32.868
38,2,17737,35835,345.31,NaN,NaN,NaN,478.84,32.534
39,1,24534,23658,1189.1,NaN,NaN,NaN,841.66,32.721
40,2,20880,41240,1165.5,NaN,NaN,NaN,637.44,34.306
41,1,24474,23682,649.15,NaN,NaN,NaN,727.92,31.951
43,3,27935,49122,2157.9,NaN,NaN,NaN,1104.2,31.942
44,2,33612,36360,588.18,NaN,NaN,NaN,1245.3,33.847
44,3,27916,49262,1437.3,NaN,NaN,NaN,1077.1,31.791
45,2,26463,23296,1023.2,NaN,NaN,NaN,1725.7,32.467
45,3,33527,36344,522.06,NaN,NaN,NaN,1357,34.202
46,2,28699,19452,1102.6,NaN,NaN,NaN,1998.8,34.081
46,3,20310,33660,-211.78,NaN,NaN,NaN,926.59,32.936
46,4,26047,33146,573.33,NaN,NaN,NaN,806.49,33.424
46,5,33601,36422,621.55,NaN,NaN,NaN,1166.2,34.371
47,2,27719,21095,362,NaN,NaN,NaN,1587.6,32.623
47,3,27112,21295,379.48,NaN,NaN,NaN,1523.4,32.561
