#track,frame,x,y,z
1,1743,19461.0,12583.0,2086.0
2,1744,28130.0,21952.0,465.31
3,1746,53302.0,29682.0,-571.31
3,1747,53341.0,29718.0,-289.92
3,1748,53297.0,29750.0,-704.86
3,1749,53319.0,29653.0,-721.15
4,1746,11564.0,13909.0,1023.5
4,1747,11596.0,13774.0,1169.3
4,1748,11569.0,13859.0,908.27
4,1749,11574.0,13781.0,1241.0
4,1750,11546.0,13893.0,1060.4
4,1751,11583.0,13711.0,1366.1
4,1752,11537.0,13854.0,1171.3
4,1754,11573.0,13807.0,1234.5
4,1755,11548.0,13883.0,1170.1
4,1757,11497.0,13839.0,1032.2
5,1748,52231.0,19053.0,2076.5
6,1746,23088.0,42468.0,678.82
6,1747,22940.0,42604.0,167.76
6,1748,22880.0,42376.0,539.86
7,1747,50090.0,52550.0,2139.4
8,1749,28145.0,36747.0,1041.7
9,1750,56117.0,24921.0,1021.2
10,1752,27080.0,34441.0,1238.5
11,1751,43922.0,36776.0,1121.2
12,1751,49970.0,51444.0,-3055.4
13,1752,50124.0,52476.0,2027.0
14,1755,26987.0,34478.0,1111.9
14,1757,27068.0,34440.0,1206.7
14,1758,27055.0,34493.0,1249.2
14,1759,27088.0,34496.0,1077.6
14,1760,27045.0,34466.0,1240.3
14,1761,27077.0,34470.0,1222.2
15,1754,41836.0,40794.0,2052.9
16,1757,50056.0,52295.0,1689.4
16,1758,50131.0,52384.0,1794.2
16,1760,50032.0,52629.0,1694.0
16,1761,50088.0,52537.0,2045.5
16,1762,50096.0,52489.0,2060.5
16,1763,50051.0,52529.0,2077.0
17,1759,38272.0,54502.0,374.07
18,1762,11574.0,13873.0,952.05
18,1763,11606.0,13984.0,545.43
18,1764,11605.0,13875.0,1027.9
19,1760,15981.0,21794.0,658.81
20,1764,24268.0,36641.0,-868.49
21,1764,49370.0,48887.0,-22390.0
22,1769,26173.0,38718.0,162.49
22,1771,26029.0,38300.0,544.26
23,1768,49964.0,52636.0,1533.1
23,1769,50081.0,52572.0,2066.5
24,1773,27065.0,22493.0,-41.715
24,1774,27051.0,22385.0,35.511
24,1775,27021.0,22371.0,32.66
24,1776,27070.0,22443.0,-60.722
24,1777,27004.0,22443.0,178.22
24,1778,27011.0,22361.0,37.265
24,1779,27032.0,22431.0,-41.235
24,1780,27056.0,22399.0,12.548
24,1781,27112.0,22377.0,-41.55
24,1782,26984.0,22410.0,48.924
24,1783,26997.0,22367.0,445.23
24,1784,26993.0,22494.0,179.91
24,1786,26995.0,22394.0,138.37
24,1787,27056.0,22450.0,-11.099
24,1788,27050.0,22568.0,12.392
24,1789,27026.0,22480.0,179.91
24,1790,27028.0,22446.0,467.71
24,1791,27035.0,22384.0,-37.779
24,1792,27056.0,22526.0,-41.546
25,1774,26109.0,38680.0,361.26
26,1775,11272.0,22323.0,184.65
27,1776,27255.0,41257.0,561.19
27,1778,27347.0,41217.0,551.74
27,1779,27386.0,41109.0,767.07
28,1776,28184.0,22401.0,1743.6
29,1777,26278.0,10440.0,672.62
30,1778,26083.0,38547.0,676.81
31,1777,27408.0,40938.0,1353.4
32,1779,33001.0,38040.0,-223.97
33,1779,11287.0,22461.0,495.87
33,1781,11067.0,22355.0,-40.318
34,1780,42227.0,54279.0,174.22
35,1781,33019.0,38429.0,1172.1
36,1781,26359.0,38477.0,-194.59
37,1781,28159.0,22481.0,1941.8
38,1783,50082.0,52484.0,2053.9
39,1783,39414.0,55171.0,986.77
39,1784,39375.0,55095.0,1157.8
39,1785,39281.0,55143.0,1040.3
40,1783,26162.0,10519.0,554.75
40,1785,26225.0,10493.0,53.666
40,1786,26110.0,10484.0,181.78
40,1788,26136.0,10472.0,648.74
41,1783,28428.0,22429.0,131.42
42,1784,32932.0,38739.0,502.27
43,1784,26084.0,38469.0,1063.8
44,1785,42218.0,54246.0,27.216
45,1785,11095.0,22206.0,-290.86
45,1787,11176.0,22453.0,167.7
45,1788,11121.0,22390.0,-293.38
45,1789,11024.0,22497.0,-210.29
45,1790,11030.0,22394.0,-205.78
46,1786,48692.0,47081.0,-37300.0
47,1786,27158.0,41218.0,557.79
48,1789,50108.0,52547.0,2076.7
49,1789,17550.0,30790.0,617.8
49,1790,17773.0,30647.0,1121.4
49,1791,17635.0,30802.0,676.15
49,1792,17756.0,30609.0,1187.7
50,1791,32247.0,21469.0,1206.2
