#track,frame,x,y,z
1,1167,14874.0,13621.0,671.18
1,1168,14727.0,13663.0,264.19
1,1169,14857.0,13545.0,731.16
1,1171,14951.0,13531.0,1013.3
2,1492,18155.0,34268.0,935.42
3,1887,41088.0,28116.0,1264.4
4,1501,17284.0,33371.0,-39.314
5,1893,35405.0,27681.0,543.39
5,1894,35381.0,27661.0,551.45
5,1895,35402.0,27667.0,675.82
6,1505,17789.0,48138.0,1771.2
7,1900,15540.0,49686.0,1001.1
7,1901,15587.0,49502.0,1360.0
7,1902,15534.0,49577.0,1164.9
8,1169,22752.0,18910.0,-489.13
9,1524,5094.1,21340.0,-473.77
10,1524,15446.0,31964.0,-28.292
11,1903,15290.0,49810.0,73.882
11,1905,15593.0,49533.0,1080.1
11,1906,15475.0,49449.0,984.66
11,1907,15530.0,49503.0,1223.1
12,1526,17211.0,33254.0,32.498
13,1904,41136.0,31088.0,-27.641
14,1528,34417.0,29071.0,532.37
14,1529,34432.0,29016.0,210.33
15,1909,39369.0,32052.0,-226.24
16,1533,37259.0,33163.0,1367.5
16,1534,37404.0,33403.0,1268.0
17,1538,38174.0,35818.0,1727.1
18,1912,39258.0,31778.0,-173.8
19,1170,1489.0,56058.0,1101.8
20,1544,35694.0,29616.0,520.0
21,1924,30702.0,58027.0,1465.1
22,1545,18082.0,51422.0,676.39
23,1939,7899.3,29186.0,16.187
24,1556,12535.0,48832.0,1969.2
25,1560,17165.0,48083.0,1387.5
26,1939,21082.0,33648.0,1224.4
27,1567,51650.0,32357.0,176.96
27,1568,51573.0,32373.0,427.5
28,1940,30736.0,57446.0,2046.6
28,1941,30840.0,57348.0,2067.9
29,1575,24280.0,24643.0,-218.51
30,1947,16546.0,49382.0,-7493.1
31,1603,51687.0,32266.0,406.75
32,1622,13198.0,15344.0,-923.64
33,1957,22977.0,19998.0,644.01
33,1958,23034.0,19996.0,544.97
33,1959,23137.0,19979.0,543.41
34,1180,18015.0,15947.0,1043.2
35,1627,50610.0,26342.0,720.92
36,1982,8706.1,29065.0,1032.5
36,1984,8723.0,29082.0,951.58
36,1985,8674.2,29103.0,744.55
36,1986,8718.2,28984.0,675.42
36,1987,8745.0,29143.0,351.5
36,1988,8658.6,29157.0,625.75
36,1989,8744.6,29110.0,608.29
36,1990,8616.3,29158.0,549.65
36,1991,8758.1,29046.0,804.69
37,1181,17784.0,16187.0,59.858
38,1661,27276.0,52406.0,1391.4
39,1990,18416.0,11730.0,327.64
39,1992,18548.0,11619.0,679.81
40,1487,17966.0,34057.0,1601.3
41,1666,28930.0,10633.0,527.32
42,1666,27358.0,52479.0,1161.4
42,1667,27224.0,52557.0,1167.0
43,1995,18212.0,11700.0,59.659
43,1997,18432.0,11694.0,539.83
44,1677,22358.0,18377.0,669.97
44,1678,22213.0,18395.0,622.42
44,1679,22170.0,18367.0,539.53
44,1680,22469.0,18263.0,1002.6
45,1682,13253.0,49005.0,678.22
45,1684,13123.0,49040.0,436.63
45,1685,13343.0,48929.0,996.79
45,1686,13104.0,48988.0,622.81
46,1193,36373.0,31044.0,572.29
47,1683,22260.0,18427.0,625.13
48,1684,30692.0,36634.0,2110.4
