#track,frame,x,y,z
1,1025,17606.0,56144.0,27.234
1,1026,17619.0,56271.0,-243.82
1,1027,17576.0,56271.0,-486.01
1,1028,17598.0,56229.0,-207.69
1,1030,17622.0,56164.0,-283.22
1,1031,17545.0,56140.0,-287.28
1,1032,17484.0,56237.0,-296.68
1,1033,17482.0,56199.0,-219.17
2,1243,21938.0,13841.0,1800.9
2,1245,21917.0,13817.0,1882.6
2,1246,21900.0,13891.0,1721.6
3,1777,19466.0,21403.0,-221.83
3,1778,19426.0,21375.0,-230.65
4,1025,14039.0,24676.0,1325.8
4,1026,14038.0,24615.0,1629.4
5,1244,21978.0,57196.0,693.19
6,1774,19390.0,20347.0,977.93
7,1027,28850.0,14798.0,-312.98
8,1244,15468.0,26952.0,2075.1
9,1774,26617.0,12821.0,999.72
9,1775,26691.0,12900.0,898.79
9,1776,26490.0,12880.0,140.45
10,1028,34545.0,27895.0,35.164
10,1030,34450.0,27832.0,-27.27
10,1031,34536.0,27786.0,29.69
10,1032,34458.0,27852.0,177.84
10,1033,34548.0,27851.0,358.97
10,1035,34391.0,27870.0,93.389
11,1244,17732.0,14365.0,2081.6
12,1775,23982.0,15544.0,2040.8
13,1028,27418.0,12843.0,426.93
13,1029,27320.0,12877.0,416.81
14,1245,24868.0,58132.0,1348.0
14,1247,24950.0,58124.0,1349.4
14,1248,24935.0,58064.0,1662.3
15,1777,39332.0,32802.0,501.57
15,1778,39255.0,32734.0,763.98
16,1029,19963.0,20454.0,956.58
17,1245,19064.0,60842.0,-295.38
18,1779,26581.0,12922.0,991.51
18,1781,26610.0,12836.0,1048.6
18,1782,26546.0,12879.0,1002.7
18,1783,26677.0,12877.0,994.6
18,1784,26604.0,12954.0,779.04
18,1785,26671.0,12880.0,1047.9
18,1786,26508.0,13037.0,1168.6
19,1028,31048.0,31075.0,397.08
20,1245,11329.0,26044.0,557.11
21,1777,24063.0,13644.0,-84.354
22,1028,23099.0,11850.0,549.42
22,1030,23244.0,11630.0,1222.0
22,1031,23372.0,11496.0,1442.6
23,1245,11537.0,46999.0,581.15
24,1778,41288.0,32657.0,-247.94
25,1029,21797.0,53053.0,-6.0267
26,1246,39591.0,34917.0,617.97
26,1248,39549.0,34826.0,622.78
26,1249,39697.0,34835.0,696.72
27,1781,22391.0,12689.0,391.37
27,1782,22498.0,12713.0,176.83
27,1783,22424.0,12811.0,524.31
27,1784,22417.0,12784.0,676.57
28,1030,44852.0,42364.0,1500.4
29,1246,16435.0,21078.0,1001.1
30,1779,24928.0,11869.0,922.1
30,1781,24439.0,11060.0,499.72
31,1030,28840.0,14791.0,32.681
31,1031,28794.0,14840.0,37.808
31,1033,28881.0,14774.0,7.8255
32,1247,15095.0,25350.0,-208.86
33,1780,20862.0,14857.0,1171.0
34,1031,31552.0,9897.8,1088.7
35,1247,21618.0,19910.0,1376.0
35,1248,21617.0,19892.0,1687.6
35,1249,21637.0,19898.0,1669.7
36,1780,20556.0,53664.0,1156.7
37,1032,19094.0,9130.1,1222.1
38,1247,22334.0,57924.0,1442.8
38,1248,22291.0,57849.0,1558.6
38,1250,22370.0,57884.0,1312.9
38,1251,22348.0,57908.0,1534.1
38,1252,22313.0,57939.0,1658.3
39,1783,26699.0,14993.0,635.66
39,1784,26516.0,15084.0,60.024
40,1032,45042.0,39404.0,1261.1
41,1251,29979.0,18805.0,1659.1
42,1783,22356.0,15007.0,366.11
43,1032,17657.0,21759.0,814.95
44,1250,31151.0,32984.0,648.66
45,1784,21189.0,13392.0,82.384
45,1785,21061.0,13455.0,20.178
45,1786,21140.0,13437.0,227.13
45,1787,21131.0,13260.0,295.13
46,1032,22941.0,11796.0,686.32
47,1250,24898.0,57452.0,42.044
48,1784,43287.0,47050.0,1365.5
49,1033,18518.0,27054.0,675.69
50,1251,19409.0,15952.0,678.53
50,1252,19482.0,15889.0,1056.6
50,1253,19444.0,15766.0,1104.1
50,1255,19451.0,15808.0,970.72
51,1785,26675.0,14969.0,936.74
51,1787,26594.0,14960.0,712.73
52,1033,23810.0,16407.0,1008.1
52,1034,23892.0,16255.0,1169.8
53,1252,19986.0,25307.0,-200.78
