#track,frame,x,y,z
1,3,31623.0,15269.0,2086.2
2,7,47195.0,37316.0,1063.1
3,7,17894.0,-8558.8,-201610.0
4,7,31142.0,15056.0,1802.9
5,9,18219.0,9273.4,-39173.0
6,19,19657.0,15028.0,2038.4
7,22,27501.0,31352.0,939.92
7,24,27592.0,31278.0,-11.208
7,25,27469.0,31444.0,540.18
7,26,27587.0,31455.0,164.43
8,24,29211.0,32044.0,547.7
8,26,29136.0,32126.0,394.23
9,24,46398.0,32723.0,29.856
9,25,46373.0,32708.0,170.86
9,26,46372.0,32752.0,29.19
9,27,46356.0,32629.0,30.443
9,28,46411.0,32650.0,-36.651
9,29,46311.0,32683.0,632.27
10,28,14957.0,14941.0,1710.3
11,35,48764.0,28394.0,176.07
12,37,19265.0,47499.0,605.94
13,37,17385.0,47245.0,178.85
14,38,15134.0,16624.0,1054.9
15,40,40023.0,29360.0,381.34
16,45,39882.0,29996.0,1511.4
16,46,39992.0,29970.0,1305.8
17,50,16558.0,47906.0,1236.3
18,51,39913.0,30222.0,1120.8
19,64,19318.0,36765.0,749.42
20,68,21013.0,35377.0,-983.81
21,96,50339.0,24446.0,2043.9
22,100,2898.1,47844.0,-289.85
23,102,42872.0,27165.0,543.33
24,107,39623.0,39773.0,643.6
25,110,2693.5,47918.0,-723.3
26,111,10392.0,25644.0,547.56
26,113,10477.0,25582.0,761.1
27,111,32126.0,37380.0,1236.1
28,116,32168.0,37354.0,1162.9
29,128,24826.0,53592.0,-717.5
30,130,56221.0,37601.0,38.644
31,130,47545.0,14876.0,-29313.0
32,132,50981.0,15062.0,1259.0
33,133,49429.0,19750.0,1002.3
34,135,48866.0,19346.0,2069.2
34,137,48890.0,19529.0,1222.5
34,138,48977.0,19817.0,621.59
35,141,39261.0,29422.0,677.45
35,142,39290.0,29480.0,482.08
35,143,39394.0,29425.0,-41.683
36,144,21366.0,50341.0,-610.4
36,145,21230.0,50499.0,-913.4
37,152,21095.0,31190.0,-722.58
37,153,21060.0,31136.0,-511.28
37,155,20890.0,31256.0,-698.38
38,154,43459.0,29054.0,1075.9
39,154,17261.0,29737.0,-877.55
40,346,23572.0,28592.0,-215.32
40,347,23561.0,28617.0,-203.67
41,154,21401.0,30943.0,1175.4
42,348,49096.0,39084.0,538.46
43,355,22770.0,49105.0,1262.6
44,156,52041.0,20436.0,2067.3
45,355,23339.0,26890.0,2150.4
46,166,36280.0,-15044.0,-312730.0
47,361,15730.0,15607.0,633.52
48,696,14801.0,23733.0,647.83
48,697,14770.0,23733.0,640.16
48,699,14848.0,23848.0,487.88
48,700,14708.0,23905.0,392.9
49,157,43379.0,29088.0,551.02
49,158,43685.0,29020.0,454.39
50,365,23359.0,27363.0,791.37
51,171,45886.0,35087.0,1051.3
51,173,45807.0,35196.0,677.42
52,367,23060.0,53764.0,1431.2
52,368,23118.0,53816.0,1422.7
52,369,23143.0,53834.0,1247.3
52,370,23090.0,53877.0,1253.7
52,372,23175.0,53804.0,1413.3
52,373,23141.0,53770.0,1365.6
52,374,23116.0,53806.0,1502.8
53,177,23592.0,30892.0,460.66
54,369,23500.0,33530.0,1057.9
55,697,42742.0,16981.0,1590.3
55,699,42674.0,16943.0,2069.6
56,177,22058.0,30154.0,-39.379
57,182,17145.0,16284.0,369.3
58,372,22657.0,27824.0,-298.0
59,182,45913.0,35144.0,957.33
60,373,22762.0,27520.0,-1084.5
61,697,56047.0,35827.0,1407.5
61,698,56028.0,36137.0,1720.2
62,182,23261.0,55262.0,1367.7
63,375,18461.0,15214.0,1066.3
64,697,27339.0,32621.0,679.02
64,698,27289.0,32688.0,495.97
64,699,27298.0,32524.0,1050.3
65,186,22851.0,54763.0,-39.799
66,376,23325.0,54815.0,-502.65
67,188,23165.0,55377.0,1442.9
67,189,23241.0,55204.0,1499.7
68,377,23046.0,53811.0,1402.7
68,378,23045.0,53779.0,1361.4
68,379,23099.0,53800.0,1360.0
69,191,18154.0,49812.0,518.09
69,192,18295.0,49779.0,634.3
69,193,18232.0,49806.0,661.2
70,381,22355.0,28850.0,157.64
71,193,23157.0,55248.0,1225.8
72,382,20380.0,26879.0,1604.9
73,202,40226.0,37954.0,251.6
73,203,39975.0,37831.0,-368.98
74,383,20424.0,30562.0,396.06
74,384,20320.0,30475.0,645.35
75,202,17590.0,29743.0,-765.9
75,204,17440.0,29970.0,-334.54
76,383,20724.0,52884.0,679.1
76,384,20650.0,52861.0,450.63
76,385,20766.0,52741.0,998.7
76,386,20760.0,52975.0,258.43
77,204,24083.0,30080.0,760.12
77,205,23982.0,30078.0,642.82
77,206,24111.0,29964.0,999.37
78,389,23322.0,31252.0,1036.4
78,391,23780.0,31182.0,504.33
79,703,21968.0,29701.0,2147.3
79,704,21848.0,29760.0,1781.2
80,205,26375.0,29693.0,1163.3
80,206,26236.0,29984.0,632.4
81,396,24375.0,35951.0,-231.68
81,397,24395.0,35843.0,489.81
81,398,24362.0,35911.0,38.335
81,399,24530.0,35832.0,593.46
81,400,24571.0,35799.0,181.67
81,401,24573.0,35905.0,400.09
82,703,46628.0,30046.0,-72402.0
83,206,33355.0,34923.0,440.87
83,207,33447.0,34800.0,1141.6
84,408,25864.0,32552.0,383.66
85,705,21649.0,30001.0,1035.9
86,211,42762.0,15392.0,526.48
86,213,42686.0,15393.0,498.77
86,214,42711.0,15226.0,924.17
86,215,42597.0,15241.0,642.63
86,216,42673.0,15384.0,547.58
87,410,25247.0,34369.0,172.65
88,216,23749.0,34936.0,395.14
88,217,23870.0,34854.0,215.73
88,218,23915.0,34913.0,6.9403
88,219,23734.0,34852.0,611.01
89,413,23927.0,30629.0,1358.8
89,414,23917.0,30603.0,1274.0
89,415,23887.0,30517.0,1754.8
90,228,51519.0,26478.0,2043.1
91,418,23867.0,30635.0,1229.3
92,230,53991.0,36461.0,1308.1
93,418,15805.0,30321.0,167.38
93,419,16036.0,30313.0,548.81
93,420,15920.0,30365.0,32.764
93,421,15939.0,30274.0,29.189
94,706,21595.0,30245.0,70.679
95,241,2309.5,23934.0,-302.75
96,425,46707.0,28868.0,649.21
97,242,2658.8,23833.0,767.47
97,243,2261.8,23696.0,538.4
97,245,2474.1,23985.0,544.45
98,426,48816.0,39138.0,673.62
98,428,48901.0,39077.0,241.99
99,254,50040.0,22142.0,571.88
99,255,50001.0,22120.0,475.09
99,257,49923.0,22036.0,391.16
100,428,50580.0,39433.0,-563.37
101,713,35087.0,27093.0,671.03
102,258,16105.0,28991.0,966.01
102,259,16038.0,29066.0,715.02
102,260,16088.0,28993.0,1043.5
102,262,16089.0,29080.0,1103.5
103,429,23928.0,30607.0,-274.94
104,260,24403.0,28690.0,29.591
104,262,24437.0,28601.0,-44.845
104,263,24275.0,28601.0,-42.955
104,264,24352.0,28515.0,-39.406
105,429,22114.0,30399.0,618.84
106,718,23075.0,50323.0,567.13
106,719,23013.0,50311.0,351.11
106,720,22931.0,50477.0,80.65
106,721,23046.0,50151.0,216.45
107,270,13480.0,48877.0,583.94
107,271,13388.0,48836.0,35.082
107,273,13458.0,48903.0,158.49
108,430,24199.0,30631.0,795.02
109,726,26452.0,35529.0,1358.8
109,727,26459.0,35709.0,1301.2
110,270,47515.0,30906.0,2041.4
111,445,46184.0,38014.0,1361.1
111,447,46013.0,38155.0,1019.6
112,728,21692.0,33255.0,653.02
112,729,21789.0,33129.0,744.49
112,730,21693.0,33198.0,673.74
113,271,47444.0,31014.0,1238.2
113,272,47479.0,30920.0,1361.3
113,273,47489.0,30984.0,1221.2
113,275,47487.0,30902.0,1488.4
114,432,20521.0,33609.0,-394.4
114,433,20502.0,33537.0,-301.92
114,434,20508.0,33602.0,-506.24
115,276,20085.0,51426.0,1601.8
116,446,38895.0,37203.0,27.056
117,729,2383.5,21428.0,669.6
118,276,17944.0,51782.0,617.75
119,447,33954.0,26684.0,-506.88
119,448,34011.0,26742.0,-680.58
119,450,33953.0,26650.0,-410.54
120,730,26469.0,35619.0,1248.2
