#track,frame,x,y,z
1,661,18200.0,13329.0,669.32
2,1574,24651.0,50193.0,1222.7
3,662,37021.0,20365.0,564.25
4,1575,35657.0,44984.0,232.07
5,663,36536.0,26796.0,1037.0
6,1577,27204.0,52846.0,509.46
7,663,36577.0,28460.0,-4367.1
8,1577,33892.0,41203.0,-286.98
8,1578,33742.0,41266.0,-305.04
9,663,39512.0,25723.0,1159.4
10,1578,35208.0,41390.0,38.523
11,664,44235.0,34833.0,561.92
12,1579,34613.0,29295.0,633.55
13,665,6942.6,27339.0,659.86
14,1580,38304.0,35652.0,1741.2
14,1582,38260.0,35716.0,1559.9
15,665,22908.0,53745.0,1166.8
16,1581,43892.0,21593.0,553.89
16,1582,43975.0,21535.0,670.13
16,1583,44125.0,21661.0,509.68
17,666,36662.0,36137.0,170.84
18,1582,33673.0,40275.0,497.91
19,666,7913.6,34238.0,528.31
19,667,7988.4,34224.0,676.31
19,668,8018.6,34151.0,679.07
20,1582,30262.0,54363.0,6.5409
21,668,34984.0,31680.0,935.23
22,1583,39290.0,28296.0,-230.34
23,668,6812.3,27171.0,193.33
23,669,6797.7,27278.0,544.22
24,1585,34973.0,38170.0,1237.1
25,669,36516.0,12180.0,-180040.0
26,1583,24439.0,50262.0,99.912
27,669,32635.0,35946.0,537.33
27,671,32416.0,35927.0,-248.86
28,1584,24918.0,52899.0,-289.01
29,672,38247.0,36060.0,-1062.0
30,1587,28035.0,22126.0,-171820.0
31,670,36902.0,20415.0,548.06
32,1586,34542.0,42006.0,1524.9
33,672,22868.0,49099.0,554.7
34,1587,28084.0,52565.0,-465.9
35,673,45813.0,34760.0,1359.0
36,1589,24573.0,53322.0,-39.254
37,674,34370.0,32052.0,1737.0
38,1590,27901.0,50617.0,999.11
38,1591,27791.0,50669.0,741.48
39,675,36906.0,20448.0,553.43
40,1590,24161.0,52835.0,1253.8
40,1591,24066.0,52824.0,1031.9
41,675,24680.0,52279.0,1433.5
41,676,24697.0,52264.0,1335.5
41,677,24666.0,52375.0,1364.5
42,1592,34728.0,18224.0,-98496.0
43,678,40340.0,27279.0,417.9
43,679,40322.0,27229.0,441.67
43,680,40328.0,27288.0,473.57
43,681,40312.0,27233.0,534.66
43,682,40301.0,27219.0,484.24
43,683,40335.0,27303.0,544.09
43,684,40272.0,27286.0,506.5
44,1593,37987.0,30732.0,-714.14
45,678,33100.0,41115.0,650.05
45,679,33156.0,40977.0,1006.2
46,1593,35044.0,13569.0,-125280.0
