large_data_set      


GROUPS
1  KO_2iL_live
2  WT_2iL_live
3  KO_2iL_fixed
4  WT_2iL_fixed
5  KO_FA_live
6  WT_FA_live
7  KO_FA_fixed
8  WT_FA_fixed


precision x_std     

g1   g2   ANOVA   K-W     
1    2    0.3521  0.6609  
1    3    0.0606  0.0282  
1    4    0.2377  0.0794  
1    5    0.2242  0.3855  
1    6    0.0123  0.0252  
1    7    0.6151  0.4496  
1    8    0.0050  0.0196  
2    3    0.0104  0.0150  
2    4    0.0791  0.0476  
2    5    0.8000  0.6960  
2    6    0.1406  0.0961  
2    7    0.2312  0.2904  
2    8    0.0014  0.0122  
3    4    0.8627  0.8742  
3    5    0.0047  0.0045  
3    6    0.0001  0.0000  
3    7    0.3109  0.3079  
3    8    0.0776  0.2653  
4    5    0.0516  0.0228  
4    6    0.0050  0.0014  
4    7    0.5136  0.3366  
4    8    0.0897  0.3744  
5    6    0.2153  0.1965  
5    7    0.1566  0.1638  
5    8    0.0008  0.0064  
6    7    0.0156  0.0141  
6    8    0.0001  0.0006  
7    8    0.0213  0.0888  


precision y_std     

g1   g2   ANOVA   K-W     
1    2    0.8120  0.8614  
1    3    0.2193  0.1032  
1    4    0.6899  0.3185  
1    5    0.4578  0.1188  
1    6    0.0213  0.2329  
1    7    0.3039  0.0351  
1    8    0.2118  0.0464  
2    3    0.3537  0.0949  
2    4    0.5866  0.4007  
2    5    0.6431  0.1090  
2    6    0.0553  0.2061  
2    7    0.4294  0.0330  
2    8    0.1797  0.0633  
3    4    0.2226  0.0391  
3    5    0.6267  0.9010  
3    6    0.3408  0.6626  
3    7    0.9933  0.4950  
3    8    0.0646  0.0054  
4    5    0.3774  0.0445  
4    6    0.0525  0.0778  
4    7    0.2663  0.0148  
4    8    0.4082  0.2794  
5    6    0.1385  0.7456  
5    7    0.6826  0.4199  
5    8    0.1100  0.0060  
6    7    0.4071  0.2846  
6    8    0.0168  0.0105  
7    8    0.0803  0.0021  


precision z_std     

g1   g2   ANOVA   K-W     
1    2    0.4764  0.0647  
1    3    0.0935  0.0213  
1    4    0.7281  0.8576  
1    5    0.6845  0.8190  
1    6    0.2373  0.8831  
1    7    0.2523  0.2216  
1    8    0.0390  0.0161  
2    3    0.3572  0.6376  
2    4    0.4155  0.1557  
2    5    0.2987  0.0526  
2    6    0.0811  0.1159  
2    7    0.1025  0.0095  
2    8    0.0970  0.1604  
3    4    0.1390  0.0803  
3    5    0.0531  0.0180  
3    6    0.0093  0.0449  
3    7    0.0179  0.0032  
3    8    0.2574  0.2596  
4    5    0.9495  0.9841  
4    6    0.6413  0.7859  
4    7    0.5807  0.4505  
4    8    0.0439  0.0276  
5    6    0.4644  0.7274  
5    7    0.4350  0.3221  
5    8    0.0260  0.0133  
6    7    0.8675  0.2033  
6    8    0.0091  0.0229  
7    8    0.0105  0.0034  


precision overall   

g1   g2   ANOVA   K-W     
1    2    0.9647  0.3113  
1    3    0.6991  0.3166  
1    4    0.8546  0.4736  
1    5    0.4459  0.3457  
1    6    0.0331  0.3343  
1    7    0.3658  0.1777  
1    8    0.0514  0.0162  
2    3    0.7497  0.9872  
2    4    0.8838  0.9963  
2    5    0.4564  0.0693  
2    6    0.0441  0.0674  
2    7    0.3729  0.0391  
2    8    0.0597  0.0670  
3    4    0.9272  0.9942  
3    5    0.2949  0.0738  
3    6    0.0228  0.0717  
3    7    0.2525  0.0412  
3    8    0.0907  0.0705  
4    5    0.4914  0.1853  
4    6    0.1054  0.1802  
4    7    0.4050  0.1038  
4    8    0.1149  0.1047  
5    6    0.1932  0.9742  
5    7    0.7833  0.5767  
5    8    0.0221  0.0045  
6    7    0.4175  0.5982  
6    8    0.0030  0.0044  
7    8    0.0206  0.0026  


