small_data_set      


GROUPS
1  WT_2iL_fixed
2  KO_2iL_live
3  KO_FA_live
4  WT_2iL_live
5  WT_FA_live


precision x_std     

g1   g2   ANOVA   K-W     
1    2    0.2456  0.1045  
1    3    0.0000  0.0000  
1    4    0.1501  0.0441  
1    5    0.0018  0.0000  
2    3    0.0000  0.0000  
2    4    0.7279  0.6317  
2    5    0.0159  0.0025  
3    4    0.0000  0.0000  
3    5    0.0004  0.0814  
4    5    0.0389  0.0114  


precision y_std     

g1   g2   ANOVA   K-W     
1    2    0.6932  0.7623  
1    3    0.0000  0.0000  
1    4    0.9328  0.8321  
1    5    0.0038  0.0043  
2    3    0.0000  0.0000  
2    4    0.5761  0.5468  
2    5    0.0002  0.0002  
3    4    0.0000  0.0000  
3    5    0.0000  0.0653  
4    5    0.0013  0.0022  


precision z_std     

g1   g2   ANOVA   K-W     
1    2    0.2779  0.2602  
1    3    0.0260  0.0415  
1    4    0.5738  0.7136  
1    5    0.8745  0.9224  
2    3    0.1593  0.2671  
2    4    0.0563  0.0809  
2    5    0.1604  0.2475  
3    4    0.0017  0.0058  
3    5    0.0082  0.0300  
4    5    0.6519  0.5994  


precision overall   

g1   g2   ANOVA   K-W     
1    2    0.3988  0.2933  
1    3    0.0000  0.0002  
1    4    0.9470  0.9331  
1    5    0.1935  0.0733  
2    3    0.0000  0.0014  
2    4    0.2889  0.2599  
2    5    0.5669  0.3652  
3    4    0.0000  0.0000  
3    5    0.0003  0.0282  
4    5    0.1168  0.0489  


